EventIndex,PoseID,Viseme,SourceWord,WordIndex,PhraseIndex,StartNorm,EndNorm,TextCenterSec,Strength,Generator
0,06_Eh,EEE,even,0,0,0,0.0198524,0.0386002,0.74,SimpleBudgetV1
1,20_FV,FVS,even,0,0,0.0191033,0.0370829,0.109246,1,SimpleBudgetV1
2,06_Eh,EEE,even,0,0,0.0239728,0.0629285,0.168967,0.74,SimpleBudgetV1
3,04_Ih,EEE,in,1,0,0.0916685,0.105562,0.383486,0.229151,SimpleBudgetV1
4,22_MBP,MBP,my,2,0,0.114642,0.128263,0.472295,1,SimpleBudgetV1
5,03_Ee,EEE,my,2,0,0.133939,0.163451,0.57823,0.86,SimpleBudgetV1
6,04_Ih,EEE,sick,3,0,0.190692,0.220204,0.798929,0.64,SimpleBudgetV1
7,05_Ay,EEE,days,4,0,0.247446,0.276958,1.01963,0.84,SimpleBudgetV1
8,05_Ay,EEE,i,5,1,0.330329,0.349943,1.32269,0.84,SimpleBudgetV1
9,20_FV,FVS,find,6,1,0.358116,0.371737,1.41909,1,SimpleBudgetV1
10,04_Ih,EEE,find,6,1,0.376277,0.405789,1.52061,0.356197,SimpleBudgetV1
11,07_Aa,AAA,a,7,1,0.431623,0.445516,1.70547,0.86,SimpleBudgetV1
12,06_Eh,EEE,little,8,1,0.479705,0.518661,1.94118,0.74,SimpleBudgetV1
13,22_MBP,MBP,spice,9,1,0.540863,0.554484,2.12974,1,SimpleBudgetV1
14,06_Eh,EEE,spice,9,1,0.548808,0.57832,2.19154,0.74,SimpleBudgetV1
15,06_Eh,EEE,helps,10,1,0.605562,0.635074,2.41224,0.74,SimpleBudgetV1
16,22_MBP,MBP,helps,10,1,0.620318,0.633939,2.43872,1,SimpleBudgetV1
17,12_Ww-Oo-,WUH,what's,11,2,0.673666,0.692963,2.65721,1,SimpleBudgetV1
18,07_Aa,AAA,what's,11,2,0.696935,0.719637,2.75432,0.86,SimpleBudgetV1
19,10_Or,OOO,your,12,2,0.748581,0.783768,2.97943,0.473294,SimpleBudgetV1
20,24_Tongue_Th,FVS,take,13,2,0.790687,0.800687,3.09419,0.260291,SimpleBudgetV1
21,07_Aa,AAA,take,13,2,0.807037,0.836549,3.19572,0.86,SimpleBudgetV1
22,09_Oh,OOO,on,14,2,0.862384,0.876277,3.38057,0.82,SimpleBudgetV1
23,22_MBP,MBP,bland,15,2,0.885358,0.898978,3.46938,1,SimpleBudgetV1
24,07_Aa,AAA,bland,15,2,0.904654,0.934166,3.57532,0.86,SimpleBudgetV1
25,20_FV,FVS,food,16,2,0.943246,0.956867,3.69449,1,SimpleBudgetV1
26,11_Oo,OOO,food,16,2,0.961407,0.990919,3.79602,0.94,SimpleBudgetV1
