ArrayIndex,EventIndex,PoseID,SourceWord,WordIndex,PhraseIndex,TextCenterSec,CommittedPlaybackCenterSec,RenderStartSec,RenderEndSec,Strength,CommitLeadSec,CommitHorizonSec,EffectiveSegmentScale
0,0,22_MBP,paraguay,0,0,0.0411933,0.388494,0.33,0.446989,1,0.0684945,0.09,1.42
1,1,10_Or,paraguay,0,0,0.194732,0.528494,0.454047,0.602942,0.22,0.0884945,0.09,1.42
2,2,03_Ee,paraguay,0,0,0.217201,0.615964,0.528464,0.703463,0.86,0.0654006,0.09,1.42
3,3,03_Ee,paraguay,0,0,0.307077,0.755964,0.676198,0.835729,0.86,0.0759635,0.09,1.42
4,4,04_Ih,is,1,0,0.461365,0.985138,0.948978,1.0213,0.293712,0.0651377,0.09,1.42
5,5,09_Oh,known,2,0,0.644945,1.24582,1.16901,1.32263,0.82,0.0858223,0.09,1.42
6,6,20_FV,for,3,0,0.7503,1.39543,1.3637,1.42716,1,0.0754265,0.09,1.42
7,7,10_Or,for,3,0,0.819205,1.49327,1.45711,1.52943,0.22,0.0532718,0.09,1.42
8,8,04_Ih,its,4,0,1.00279,1.75396,1.67714,1.83077,0.304736,0.0739563,0.09,1.42
9,9,18_Uh,unique,5,0,1.11305,1.91053,1.85594,1.96513,0.68,0.0705327,0.09,1.42
10,10,11_Oo,unique,5,0,1.24945,2.05053,1.96303,2.13803,0.94,0.0505329,0.09,1.42
11,11,07_Aa,gaucho,6,0,1.45633,2.39741,2.34282,2.45201,0.86,0.0779865,0.09,1.42
12,12,09_Oh,gaucho,6,0,1.52407,2.49418,2.40668,2.58168,0.82,0.0541773,0.09,1.42
13,13,14_ChJjSh,gaucho,6,0,1.52956,2.50418,2.45738,2.55097,0.64,0.0641773,0.09,1.42
14,14,09_Oh,gaucho,6,0,1.61652,2.62546,2.56307,2.68786,0.82,0.0654647,0.09,1.42
15,15,18_Uh,culture,7,0,1.69826,2.74152,2.68693,2.79612,0.68,0.0615253,0.09,1.42
16,16,06_Eh,culture,7,0,1.79869,2.88152,2.79402,2.96902,0.74,0.0815256,0.09,1.42
17,17,07_Aa,and,8,0,2.00091,3.17129,3.13513,3.20745,0.86,0.0512955,0.09,1.42
18,18,24_Tongue_Th,the,9,0,2.08629,3.29254,3.26081,3.32427,0.42,0.0525389,0.09,1.42
19,19,06_Eh,the,9,0,2.1567,3.39251,3.35422,3.4308,0.74,0.0725112,0.09,1.42
20,20,07_Aa,iguazu,10,0,2.27503,3.56055,3.49756,3.62353,0.86,0.0805502,0.09,1.42
21,21,07_Aa,iguazu,10,0,2.41151,3.70055,3.61305,3.78805,0.86,0.0605505,0.09,1.42
22,22,07_Aa,iguazu,10,0,2.4934,3.84055,3.76787,3.91322,0.86,0.0805507,0.09,1.42
23,23,20_FV,falls,11,0,2.57978,3.99329,3.95784,4.02874,1,0.0732911,0.09,1.42
24,24,07_Aa,falls,11,0,2.67548,4.12919,4.05237,4.206,0.86,0.0891876,0.09,1.42
25,25,09_Oh,on,12,0,2.84974,4.37663,4.34047,4.4128,0.82,0.0566373,0.09,1.42
26,26,04_Ih,its,13,0,3.03332,4.63732,4.56051,4.71413,0.255654,0.0773215,0.09,1.42
27,27,22_MBP,border,14,0,3.14816,4.80039,4.7536,4.84719,1,0.0803967,0.09,1.42
28,28,10_Or,border,14,0,3.18936,4.85889,4.80429,4.91348,0.68,0.0588918,0.09,1.42
29,29,06_Eh,border,14,0,3.27998,4.98758,4.90008,5.07508,0.74,0.0675797,0.09,1.42
30,30,12_Ww-Oo-,with,15,0,3.42445,5.19272,5.14545,5.23999,1,0.0727239,0.09,1.42
31,31,04_Ih,with,15,0,3.51599,5.32271,5.2459,5.39952,0.22,0.0827117,0.09,1.42
32,32,24_Tongue_Th,with,15,0,3.52535,5.336,5.30055,5.37145,0.42,0.056006,0.09,1.42
33,33,22_MBP,brazil,16,0,3.63083,5.48578,5.43899,5.53258,1,0.0857873,0.09,1.42
34,34,07_Aa,brazil,16,0,3.76265,5.62578,5.53828,5.71328,0.86,0.0657873,0.09,1.42
35,35,04_Ih,brazil,16,0,3.80934,5.73747,5.67508,5.79986,0.72,0.0592632,0.09,1.42
36,36,07_Aa,and,17,0,3.96487,5.96012,5.92396,5.99628,0.86,0.0801239,0.09,1.42
37,37,07_Aa,argentina,18,0,4.10718,6.16219,6.08077,6.24361,0.86,0.0821967,0.09,1.42
38,38,24_Tongue_Th,argentina,18,0,4.25714,6.30219,6.2333,6.37109,0.42,0.0621967,0.09,1.42
39,39,07_Aa,argentina,18,0,4.2836,6.39366,6.30616,6.48116,0.86,0.0847754,0.09,1.42
40,40,07_Aa,argentina,18,0,4.38946,6.53366,6.44616,6.62116,0.86,-0.573219,0.15,1.42
