Metric,Value
CaseId,case_000219
Transcript,We've got sandwiches for five dollars and chips for two. What'll it be?
PlannedEventCount,26
CommittedEventCount,26
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,12.2054
EstimatedTextDurationSec,2.88762
AudioDurationSec,3.97688
EffectiveSegmentScaleMax,1.24476
ScaleCapHitCount,0
CommitLeadMeanSec,0.0704652
MaxVisiblePoseGapSec,0.116667
VisiblePoseGapCountOver250ms,0
