PlaybackSec,EventIndex,PoseID,SourceWord,CommittedCenterSec,SubmittedWeight,SourceStrength
0.2,0,22_MBP,bogota,0.237881,0.985,1
0.216667,0,22_MBP,bogota,0.237881,1,1
0.233333,0,22_MBP,bogota,0.237881,1,1
0.25,0,22_MBP,bogota,0.237881,1,1
0.266667,0,22_MBP,bogota,0.237881,1,1
0.266667,1,09_Oh,bogota,0.286094,0.262465,0.82
0.283333,0,22_MBP,bogota,0.237881,0.76589,1
0.283333,1,09_Oh,bogota,0.286094,0.82,0.82
0.3,0,22_MBP,bogota,0.237881,0.0230196,1
0.3,1,09_Oh,bogota,0.286094,0.82,0.82
0.316667,1,09_Oh,bogota,0.286094,0.724298,0.82
0.333333,1,09_Oh,bogota,0.286094,0.370524,0.82
0.333333,2,24_Tongue_Th,bogota,0.379075,0.00429388,0.42
0.35,1,09_Oh,bogota,0.286094,0.0544893,0.82
0.35,2,24_Tongue_Th,bogota,0.379075,0.228193,0.42
0.366667,2,24_Tongue_Th,bogota,0.379075,0.419164,0.42
0.366667,3,07_Aa,bogota,0.399737,0.053451,0.86
0.383333,2,24_Tongue_Th,bogota,0.379075,0.42,0.42
0.383333,3,07_Aa,bogota,0.399737,0.852606,0.86
0.4,2,24_Tongue_Th,bogota,0.379075,0.311811,0.42
0.4,3,07_Aa,bogota,0.399737,0.86,0.86
0.416667,2,24_Tongue_Th,bogota,0.379075,0.00191853,0.42
0.416667,3,07_Aa,bogota,0.399737,0.858875,0.86
0.416667,4,07_Aa,bogota,0.482387,0.00385598,0.86
0.433333,3,07_Aa,bogota,0.399737,0.659516,0.86
0.433333,4,07_Aa,bogota,0.482387,0.238514,0.86
0.45,3,07_Aa,bogota,0.399737,0.208657,0.86
0.45,4,07_Aa,bogota,0.482387,0.687303,0.86
0.466667,3,07_Aa,bogota,0.399737,0.00155215,0.86
0.466667,4,07_Aa,bogota,0.482387,0.859765,0.86
0.483334,4,07_Aa,bogota,0.482387,0.86,0.86
0.5,4,07_Aa,bogota,0.482387,0.859635,0.86
0.516667,4,07_Aa,bogota,0.482387,0.810682,0.86
0.533333,4,07_Aa,bogota,0.482387,0.640101,0.86
0.533333,5,07_Aa,has,0.632064,0.00157828,0.86
0.55,4,07_Aa,bogota,0.482387,0.386941,0.86
0.55,5,07_Aa,has,0.632064,0.083438,0.86
0.566667,4,07_Aa,bogota,0.482387,0.151245,0.86
0.566667,5,07_Aa,has,0.632064,0.316922,0.86
0.583333,4,07_Aa,bogota,0.482387,0.0211424,0.86
0.583333,5,07_Aa,has,0.632064,0.607709,0.86
0.6,5,07_Aa,has,0.632064,0.80972,0.86
0.616667,5,07_Aa,has,0.632064,0.859969,0.86
0.633333,5,07_Aa,has,0.632064,0.86,0.86
0.65,5,07_Aa,has,0.632064,0.857649,0.86
0.666667,5,07_Aa,has,0.632064,0.65564,0.86
0.683333,5,07_Aa,has,0.632064,0.22129,0.86
0.683333,6,24_Tongue_Th,the,0.718241,0.117182,0.42
0.7,5,07_Aa,has,0.632064,0.00383604,0.86
0.7,6,24_Tongue_Th,the,0.718241,0.393683,0.42
0.716667,6,24_Tongue_Th,the,0.718241,0.42,0.42
0.733333,6,24_Tongue_Th,the,0.718241,0.415829,0.42
0.733333,7,06_Eh,the,0.7893,0.013677,0.74
0.75,6,24_Tongue_Th,the,0.718241,0.24888,0.42
0.75,7,06_Eh,the,0.7893,0.337309,0.74
0.766667,6,24_Tongue_Th,the,0.718241,0.025894,0.42
0.766667,7,06_Eh,the,0.7893,0.708295,0.74
0.783333,7,06_Eh,the,0.7893,0.74,0.74
0.8,7,06_Eh,the,0.7893,0.74,0.74
0.816667,7,06_Eh,the,0.7893,0.713062,0.74
0.816667,8,07_Aa,largest,0.906147,0.000997882,0.86
0.833333,7,06_Eh,the,0.7893,0.532696,0.74
0.833333,8,07_Aa,largest,0.906147,0.0981356,0.86
0.85,7,06_Eh,the,0.7893,0.250732,0.74
0.85,8,07_Aa,largest,0.906147,0.381022,0.86
0.866666,7,06_Eh,the,0.7893,0.0442937,0.74
0.866666,8,07_Aa,largest,0.906147,0.695303,0.86
0.883333,8,07_Aa,largest,0.906147,0.850127,0.86
0.9,8,07_Aa,largest,0.906147,0.86,0.86
0.916666,8,07_Aa,largest,0.906147,0.86,0.86
0.933333,8,07_Aa,largest,0.906147,0.815753,0.86
0.933333,9,07_Aa,largest,1.00752,0.0144017,0.86
0.95,8,07_Aa,largest,0.906147,0.536627,0.86
0.95,9,07_Aa,largest,1.00752,0.227807,0.86
0.966666,8,07_Aa,largest,0.906147,0.170174,0.86
0.966666,9,07_Aa,largest,1.00752,0.602445,0.86
0.983333,8,07_Aa,largest,0.906147,0.00437699,0.86
