start,end,pose,phone,word,confidence,word_index,speech_region_index,phrase_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.240000,0.320000,AE0,AE0,andorra,1.0,0,0,0,-1,AE0,0,mfa_textgrid_phone
0.320000,0.410000,N,N,andorra,1.0,0,0,0,-1,N,1,mfa_textgrid_phone
0.410000,0.470000,D,D,andorra,1.0,0,0,0,-1,D,2,mfa_textgrid_phone
0.470000,0.600000,AO1,AO1,andorra,1.0,0,0,0,-1,AO1,3,mfa_textgrid_phone
0.600000,0.670000,R,R,andorra,1.0,0,0,0,-1,R,4,mfa_textgrid_phone
0.670000,0.820000,AH0,AH0,andorra,1.0,0,0,0,-1,AH0,5,mfa_textgrid_phone
0.850000,0.930000,IH1,IH1,is,1.0,1,0,0,-1,IH1,0,mfa_textgrid_phone
0.930000,0.980000,Z,Z,is,1.0,1,0,0,-1,Z,1,mfa_textgrid_phone
0.980000,1.030000,DH,DH,the,1.0,2,0,0,-1,DH,0,mfa_textgrid_phone
1.030000,1.140000,IY0,IY0,the,1.0,2,0,0,-1,IY0,1,mfa_textgrid_phone
1.180000,1.320000,OW1,OW1,only,1.0,3,0,0,-1,OW1,0,mfa_textgrid_phone
1.320000,1.380000,N,N,only,1.0,3,0,0,-1,N,1,mfa_textgrid_phone
1.380000,1.420000,L,L,only,1.0,3,0,0,-1,L,2,mfa_textgrid_phone
1.420000,1.480000,IY0,IY0,only,1.0,3,0,0,-1,IY0,3,mfa_textgrid_phone
1.480000,1.600000,K,K,country,1.0,4,0,0,-1,K,0,mfa_textgrid_phone
1.600000,1.660000,AH1,AH1,country,1.0,4,0,0,-1,AH1,1,mfa_textgrid_phone
1.660000,1.700000,N,N,country,1.0,4,0,0,-1,N,2,mfa_textgrid_phone
1.700000,1.810000,T,T,country,1.0,4,0,0,-1,T,3,mfa_textgrid_phone
1.810000,1.850000,R,R,country,1.0,4,0,0,-1,R,4,mfa_textgrid_phone
1.850000,1.930000,IY0,IY0,country,1.0,4,0,0,-1,IY0,5,mfa_textgrid_phone
1.930000,1.980000,IH0,IH0,in,1.0,5,0,0,-1,IH0,0,mfa_textgrid_phone
1.980000,2.020000,N,N,in,1.0,5,0,0,-1,N,1,mfa_textgrid_phone
2.020000,2.050000,DH,DH,the,1.0,6,0,0,-1,DH,0,mfa_textgrid_phone
