word_index,word,start,end,phrase_index,sentence_index
0,armenia,0.040000,0.810000,0,0
1,is,0.840000,0.990000,0,0
2,the,0.990000,1.090000,0,0
3,first,1.090000,1.620000,0,0
4,country,1.620000,2.120000,0,0
5,in,2.120000,2.210000,0,0
6,the,2.210000,2.280000,0,0
7,world,2.280000,2.660000,0,0
8,to,2.660000,2.830000,0,0
9,adopt,2.830000,3.310000,0,0
10,christianity,3.310000,4.140000,0,0
11,as,4.350000,4.540000,0,0
12,its,4.540000,4.670000,0,0
13,official,4.670000,5.250000,0,0
14,religion,5.250000,5.810000,0,0
