start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.120000,0.170000,B,B,burundi,1.0,0,0,-1,B,0,mfa_textgrid_phone
0.170000,0.380000,ER0,ER0,burundi,1.0,0,0,-1,ER0,1,mfa_textgrid_phone
0.380000,0.480000,AH1,AH1,burundi,1.0,0,0,-1,AH1,2,mfa_textgrid_phone
0.480000,0.530000,N,N,burundi,1.0,0,0,-1,N,3,mfa_textgrid_phone
0.530000,0.570000,D,D,burundi,1.0,0,0,-1,D,4,mfa_textgrid_phone
0.570000,0.690000,IY0,IY0,burundi,1.0,0,0,-1,IY0,5,mfa_textgrid_phone
0.690000,0.750000,HH,HH,has,1.0,1,0,-1,HH,0,mfa_textgrid_phone
0.750000,0.890000,AE1,AE1,has,1.0,1,0,-1,AE1,1,mfa_textgrid_phone
0.890000,0.940000,Z,Z,has,1.0,1,0,-1,Z,2,mfa_textgrid_phone
0.940000,1.060000,S,S,stunning,1.0,2,0,-1,S,0,mfa_textgrid_phone
1.060000,1.120000,T,T,stunning,1.0,2,0,-1,T,1,mfa_textgrid_phone
1.120000,1.210000,AH1,AH1,stunning,1.0,2,0,-1,AH1,2,mfa_textgrid_phone
1.210000,1.250000,N,N,stunning,1.0,2,0,-1,N,3,mfa_textgrid_phone
1.250000,1.300000,IH0,IH0,stunning,1.0,2,0,-1,IH0,4,mfa_textgrid_phone
1.300000,1.430000,NG,NG,stunning,1.0,2,0,-1,NG,5,mfa_textgrid_phone
1.430000,1.480000,L,L,lakes,1.0,3,0,-1,L,0,mfa_textgrid_phone
1.480000,1.620000,EY1,EY1,lakes,1.0,3,0,-1,EY1,1,mfa_textgrid_phone
1.620000,1.680000,K,K,lakes,1.0,3,0,-1,K,2,mfa_textgrid_phone
1.680000,1.810000,S,S,lakes,1.0,3,0,-1,S,3,mfa_textgrid_phone
1.890000,2.010000,AE1,AE1,and,1.0,4,0,-1,AE1,0,mfa_textgrid_phone
2.010000,2.070000,N,N,and,1.0,4,0,-1,N,1,mfa_textgrid_phone
2.070000,2.120000,D,D,and,1.0,4,0,-1,D,2,mfa_textgrid_phone
2.120000,2.150000,G,G,gorillas,1.0,5,0,-1,G,0,mfa_textgrid_phone
2.150000,2.320000,ER0,ER0,gorillas,1.0,5,0,-1,ER0,1,mfa_textgrid_phone
2.320000,2.370000,IH1,IH1,gorillas,1.0,5,0,-1,IH1,2,mfa_textgrid_phone
2.370000,2.470000,L,L,gorillas,1.0,5,0,-1,L,3,mfa_textgrid_phone
2.470000,2.580000,AH0,AH0,gorillas,1.0,5,0,-1,AH0,4,mfa_textgrid_phone
2.580000,2.780000,Z,Z,gorillas,1.0,5,0,-1,Z,5,mfa_textgrid_phone
3.060000,3.180000,N,N,need,1.0,6,1,-1,N,0,mfa_textgrid_phone
3.180000,3.290000,IY1,IY1,need,1.0,6,1,-1,IY1,1,mfa_textgrid_phone
3.290000,3.330000,D,D,need,1.0,6,1,-1,D,2,mfa_textgrid_phone
3.330000,3.410000,EH1,EH1,anything,1.0,7,1,-1,EH1,0,mfa_textgrid_phone
3.410000,3.450000,N,N,anything,1.0,7,1,-1,N,1,mfa_textgrid_phone
3.450000,3.520000,IY0,IY0,anything,1.0,7,1,-1,IY0,2,mfa_textgrid_phone
3.520000,3.590000,TH,TH,anything,1.0,7,1,-1,TH,3,mfa_textgrid_phone
3.590000,3.660000,IH2,IH2,anything,1.0,7,1,-1,IH2,4,mfa_textgrid_phone
3.660000,3.730000,NG,NG,anything,1.0,7,1,-1,NG,5,mfa_textgrid_phone
3.730000,3.810000,EH1,EH1,else,1.0,8,1,-1,EH1,0,mfa_textgrid_phone
3.810000,3.920000,L,L,else,1.0,8,1,-1,L,1,mfa_textgrid_phone
3.920000,4.140000,S,S,else,1.0,8,1,-1,S,2,mfa_textgrid_phone
