start,end,phone,word,confidence,word_index,speech_region_index,phone_index,phrase_index,sentence_index,alignment_reason
0.080000,0.170000,K,cambodia,1.0,0,0,0,0,-1,mfa_textgrid_phone
0.170000,0.240000,AE2,cambodia,1.0,0,0,1,0,-1,mfa_textgrid_phone
0.240000,0.330000,M,cambodia,1.0,0,0,2,0,-1,mfa_textgrid_phone
0.330000,0.370000,B,cambodia,1.0,0,0,3,0,-1,mfa_textgrid_phone
0.370000,0.510000,OW1,cambodia,1.0,0,0,4,0,-1,mfa_textgrid_phone
0.510000,0.550000,D,cambodia,1.0,0,0,5,0,-1,mfa_textgrid_phone
0.550000,0.650000,IY0,cambodia,1.0,0,0,6,0,-1,mfa_textgrid_phone
0.650000,0.770000,AH0,cambodia,1.0,0,0,7,0,-1,mfa_textgrid_phone
0.770000,0.820000,HH,has,1.0,1,0,0,0,-1,mfa_textgrid_phone
0.820000,0.910000,AE1,has,1.0,1,0,1,0,-1,mfa_textgrid_phone
0.910000,0.980000,Z,has,1.0,1,0,2,0,-1,mfa_textgrid_phone
1.070000,1.530000,spn,angkor,1.0,2,0,0,0,-1,mfa_textgrid_phone
1.530000,1.600000,W,wat,1.0,3,0,0,0,-1,mfa_textgrid_phone
1.600000,1.780000,AA1,wat,1.0,3,0,1,0,-1,mfa_textgrid_phone
1.780000,1.830000,T,wat,1.0,3,0,2,0,-1,mfa_textgrid_phone
1.900000,1.980000,AE1,and,1.0,4,0,0,0,-1,mfa_textgrid_phone
1.980000,2.030000,N,and,1.0,4,0,1,0,-1,mfa_textgrid_phone
2.030000,2.070000,D,and,1.0,4,0,2,0,-1,mfa_textgrid_phone
2.070000,2.110000,D,delicious,1.0,5,0,0,0,-1,mfa_textgrid_phone
2.110000,2.170000,IH0,delicious,1.0,5,0,1,0,-1,mfa_textgrid_phone
2.170000,2.300000,L,delicious,1.0,5,0,2,0,-1,mfa_textgrid_phone
2.300000,2.360000,IH1,delicious,1.0,5,0,3,0,-1,mfa_textgrid_phone
2.360000,2.460000,SH,delicious,1.0,5,0,4,0,-1,mfa_textgrid_phone
2.460000,2.520000,AH0,delicious,1.0,5,0,5,0,-1,mfa_textgrid_phone
2.520000,2.590000,S,delicious,1.0,5,0,6,0,-1,mfa_textgrid_phone
2.590000,2.690000,K,cuisine,1.0,6,0,0,0,-1,mfa_textgrid_phone
2.690000,2.720000,W,cuisine,1.0,6,0,1,0,-1,mfa_textgrid_phone
2.720000,2.750000,IH0,cuisine,1.0,6,0,2,0,-1,mfa_textgrid_phone
2.750000,2.870000,Z,cuisine,1.0,6,0,3,0,-1,mfa_textgrid_phone
2.870000,3.070000,IY1,cuisine,1.0,6,0,4,0,-1,mfa_textgrid_phone
3.070000,3.210000,N,cuisine,1.0,6,0,5,0,-1,mfa_textgrid_phone
3.570000,3.700000,N,need,1.0,7,1,0,1,-1,mfa_textgrid_phone
3.700000,3.830000,IY1,need,1.0,7,1,1,1,-1,mfa_textgrid_phone
3.830000,3.920000,D,need,1.0,7,1,2,1,-1,mfa_textgrid_phone
3.960000,4.040000,EH1,anything,1.0,8,1,0,1,-1,mfa_textgrid_phone
4.040000,4.090000,N,anything,1.0,8,1,1,1,-1,mfa_textgrid_phone
4.090000,4.150000,IY0,anything,1.0,8,1,2,1,-1,mfa_textgrid_phone
4.150000,4.240000,TH,anything,1.0,8,1,3,1,-1,mfa_textgrid_phone
4.240000,4.290000,IH2,anything,1.0,8,1,4,1,-1,mfa_textgrid_phone
4.290000,4.380000,NG,anything,1.0,8,1,5,1,-1,mfa_textgrid_phone
4.380000,4.470000,EH1,else,1.0,9,1,0,1,-1,mfa_textgrid_phone
4.470000,4.580000,L,else,1.0,9,1,1,1,-1,mfa_textgrid_phone
4.580000,4.850000,S,else,1.0,9,1,2,1,-1,mfa_textgrid_phone
