start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.200000,0.290000,K,croatia,1.0,0,0,0,-1,mfa_textgrid_phone
0.290000,0.340000,R,croatia,1.0,0,0,1,-1,mfa_textgrid_phone
0.340000,0.460000,OW0,croatia,1.0,0,0,2,-1,mfa_textgrid_phone
0.460000,0.580000,EY1,croatia,1.0,0,0,3,-1,mfa_textgrid_phone
0.580000,0.700000,SH,croatia,1.0,0,0,4,-1,mfa_textgrid_phone
0.700000,0.810000,AH0,croatia,1.0,0,0,5,-1,mfa_textgrid_phone
0.810000,0.870000,HH,has,1.0,1,0,0,-1,mfa_textgrid_phone
0.870000,0.950000,AE1,has,1.0,1,0,1,-1,mfa_textgrid_phone
0.950000,1.000000,Z,has,1.0,1,0,2,-1,mfa_textgrid_phone
1.000000,1.130000,S,stunning,1.0,2,0,0,-1,mfa_textgrid_phone
1.130000,1.190000,T,stunning,1.0,2,0,1,-1,mfa_textgrid_phone
1.190000,1.270000,AH1,stunning,1.0,2,0,2,-1,mfa_textgrid_phone
1.270000,1.320000,N,stunning,1.0,2,0,3,-1,mfa_textgrid_phone
1.320000,1.360000,IH0,stunning,1.0,2,0,4,-1,mfa_textgrid_phone
1.360000,1.480000,NG,stunning,1.0,2,0,5,-1,mfa_textgrid_phone
1.480000,1.580000,K,coastlines,1.0,3,0,0,-1,mfa_textgrid_phone
1.580000,1.690000,OW1,coastlines,1.0,3,0,1,-1,mfa_textgrid_phone
1.690000,1.800000,S,coastlines,1.0,3,0,2,-1,mfa_textgrid_phone
1.800000,1.840000,T,coastlines,1.0,3,0,3,-1,mfa_textgrid_phone
1.840000,1.890000,L,coastlines,1.0,3,0,4,-1,mfa_textgrid_phone
1.890000,2.080000,AY2,coastlines,1.0,3,0,5,-1,mfa_textgrid_phone
2.080000,2.160000,N,coastlines,1.0,3,0,6,-1,mfa_textgrid_phone
2.160000,2.230000,Z,coastlines,1.0,3,0,7,-1,mfa_textgrid_phone
2.230000,2.280000,AH0,and,1.0,4,0,0,-1,mfa_textgrid_phone
2.280000,2.310000,N,and,1.0,4,0,1,-1,mfa_textgrid_phone
2.310000,2.340000,D,and,1.0,4,0,2,-1,mfa_textgrid_phone
2.340000,2.390000,HH,historic,1.0,5,0,0,-1,mfa_textgrid_phone
2.390000,2.450000,IH0,historic,1.0,5,0,1,-1,mfa_textgrid_phone
2.450000,2.550000,S,historic,1.0,5,0,2,-1,mfa_textgrid_phone
2.550000,2.600000,T,historic,1.0,5,0,3,-1,mfa_textgrid_phone
2.600000,2.650000,AO1,historic,1.0,5,0,4,-1,mfa_textgrid_phone
2.650000,2.710000,R,historic,1.0,5,0,5,-1,mfa_textgrid_phone
2.710000,2.750000,IH0,historic,1.0,5,0,6,-1,mfa_textgrid_phone
2.750000,2.800000,K,historic,1.0,5,0,7,-1,mfa_textgrid_phone
2.800000,2.910000,S,cities,1.0,6,0,0,-1,mfa_textgrid_phone
2.910000,3.000000,IH1,cities,1.0,6,0,1,-1,mfa_textgrid_phone
3.000000,3.030000,T,cities,1.0,6,0,2,-1,mfa_textgrid_phone
3.030000,3.160000,IY0,cities,1.0,6,0,3,-1,mfa_textgrid_phone
3.160000,3.350000,Z,cities,1.0,6,0,4,-1,mfa_textgrid_phone
