word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,dominica,1,has,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,has,2,stunning,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,stunning,3,waterfalls,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,waterfalls,4,and,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,and,5,tropical,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
5,tropical,6,rainforests,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
6,rainforests,7,want,!,!,region_break,1,hard_punctuation_with_lull,0.700000,0.700000,0.700000,0.700000,0,1
7,want,8,a,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
8,a,9,break,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
9,break,10,from,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
10,from,11,geography,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
