word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,finland's,0.000000,0.480000,0,-1,-1
1,lots,0.480000,0.770000,0,-1,-1
2,of,0.770000,0.880000,0,-1,-1
3,lakes,0.880000,1.250000,0,-1,-1
4,come,1.250000,1.510000,0,-1,-1
5,from,1.510000,1.670000,0,-1,-1
6,its,1.670000,1.790000,0,-1,-1
7,glacial,1.790000,2.230000,0,-1,-1
8,history,2.230000,2.840000,0,-1,-1
9,ice,3.350000,3.640000,1,-1,-1
10,carved,3.640000,4.050000,1,-1,-1
11,them,4.050000,4.190000,1,-1,-1
12,out,4.190000,4.520000,1,-1,-1
