word_index,word,start,end,speech_region_index,sentence_index
0,la,0.120000,0.300000,0,-1
1,soto,0.300000,1.020000,0,-1
2,haven't,1.430000,1.850000,1,-1
3,heard,1.850000,2.090000,1,-1
4,of,2.090000,2.180000,1,-1
5,it,2.180000,2.360000,1,-1
6,maybe,2.910000,3.240000,2,-1
7,a,3.240000,3.300000,2,-1
8,small,3.300000,3.670000,2,-1
9,town,3.670000,4.020000,2,-1
10,or,4.020000,4.120000,2,-1
11,a,4.120000,4.170000,2,-1
12,band,4.170000,4.620000,2,-1
13,want,5.150000,5.350000,3,-1
14,some,5.350000,5.480000,3,-1
15,chips,5.480000,6.010000,3,-1
