start,end,phone,word,confidence,word_index,speech_region_index,phone_index,phrase_index,sentence_index,alignment_reason
0.000000,0.050000,HH,hello,1.0,0,0,0,0,-1,mfa_textgrid_phone
0.050000,0.110000,AH0,hello,1.0,0,0,1,0,-1,mfa_textgrid_phone
0.110000,0.180000,L,hello,1.0,0,0,2,0,-1,mfa_textgrid_phone
0.180000,0.310000,OW1,hello,1.0,0,0,3,0,-1,mfa_textgrid_phone
0.310000,0.360000,DH,there,1.0,1,0,0,0,-1,mfa_textgrid_phone
0.360000,0.480000,EH1,there,1.0,1,0,1,0,-1,mfa_textgrid_phone
0.480000,0.680000,R,there,1.0,1,0,2,0,-1,mfa_textgrid_phone
0.990000,1.020000,HH,what,1.0,2,1,0,1,-1,mfa_textgrid_phone
1.020000,1.160000,W,what,1.0,2,1,1,1,-1,mfa_textgrid_phone
1.160000,1.220000,AH1,what,1.0,2,1,2,1,-1,mfa_textgrid_phone
1.220000,1.300000,T,what,1.0,2,1,3,1,-1,mfa_textgrid_phone
1.300000,1.370000,K,can,1.0,3,1,0,1,-1,mfa_textgrid_phone
1.370000,1.410000,AE1,can,1.0,3,1,1,1,-1,mfa_textgrid_phone
1.410000,1.450000,N,can,1.0,3,1,2,1,-1,mfa_textgrid_phone
1.450000,1.590000,AY1,i,1.0,4,1,0,1,-1,mfa_textgrid_phone
1.590000,1.730000,G,get,1.0,5,1,0,1,-1,mfa_textgrid_phone
1.730000,1.840000,EH1,get,1.0,5,1,1,1,-1,mfa_textgrid_phone
1.840000,1.900000,T,get,1.0,5,1,2,1,-1,mfa_textgrid_phone
1.900000,2.000000,F,for,1.0,6,1,0,1,-1,mfa_textgrid_phone
2.000000,2.050000,ER0,for,1.0,6,1,1,1,-1,mfa_textgrid_phone
2.050000,2.170000,Y,you,1.0,7,1,0,1,-1,mfa_textgrid_phone
2.170000,2.240000,UW1,you,1.0,7,1,1,1,-1,mfa_textgrid_phone
2.240000,2.330000,T,today,1.0,8,1,0,1,-1,mfa_textgrid_phone
2.330000,2.390000,AH0,today,1.0,8,1,1,1,-1,mfa_textgrid_phone
2.390000,2.440000,D,today,1.0,8,1,2,1,-1,mfa_textgrid_phone
2.440000,2.770000,EY1,today,1.0,8,1,3,1,-1,mfa_textgrid_phone
