start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
1.180000,1.350000,AY1,AY1,i,1.0,0,0,-1,AY1,0,mfa_textgrid_phone
1.350000,1.480000,IH0,IH0,enjoy,1.0,1,0,-1,IH0,0,mfa_textgrid_phone
1.480000,1.560000,N,N,enjoy,1.0,1,0,-1,N,1,mfa_textgrid_phone
1.560000,1.670000,JH,JH,enjoy,1.0,1,0,-1,JH,2,mfa_textgrid_phone
1.670000,1.930000,OY1,OY1,enjoy,1.0,1,0,-1,OY1,3,mfa_textgrid_phone
1.930000,1.990000,DH,DH,the,1.0,2,0,-1,DH,0,mfa_textgrid_phone
1.990000,2.040000,AH0,AH0,the,1.0,2,0,-1,AH0,1,mfa_textgrid_phone
2.040000,2.130000,V,V,veggie,1.0,3,0,-1,V,0,mfa_textgrid_phone
2.130000,2.230000,EH1,EH1,veggie,1.0,3,0,-1,EH1,1,mfa_textgrid_phone
2.230000,2.330000,JH,JH,veggie,1.0,3,0,-1,JH,2,mfa_textgrid_phone
2.330000,2.380000,IY0,IY0,veggie,1.0,3,0,-1,IY0,3,mfa_textgrid_phone
2.380000,2.490000,W,W,one,1.0,4,0,-1,W,0,mfa_textgrid_phone
2.490000,2.570000,AH1,AH1,one,1.0,4,0,-1,AH1,1,mfa_textgrid_phone
2.570000,2.640000,N,N,one,1.0,4,0,-1,N,2,mfa_textgrid_phone
2.640000,2.700000,M,M,myself,1.0,5,0,-1,M,0,mfa_textgrid_phone
2.700000,2.780000,AY2,AY2,myself,1.0,5,0,-1,AY2,1,mfa_textgrid_phone
2.780000,2.980000,S,S,myself,1.0,5,0,-1,S,2,mfa_textgrid_phone
2.980000,3.070000,EH1,EH1,myself,1.0,5,0,-1,EH1,3,mfa_textgrid_phone
3.070000,3.160000,L,L,myself,1.0,5,0,-1,L,4,mfa_textgrid_phone
3.160000,3.370000,F,F,myself,1.0,5,0,-1,F,5,mfa_textgrid_phone
3.850000,3.970000,L,L,light,1.0,6,1,-1,L,0,mfa_textgrid_phone
3.970000,4.120000,AY1,AY1,light,1.0,6,1,-1,AY1,1,mfa_textgrid_phone
4.120000,4.200000,T,T,light,1.0,6,1,-1,T,2,mfa_textgrid_phone
4.200000,4.250000,AH0,AH0,and,1.0,7,1,-1,AH0,0,mfa_textgrid_phone
4.250000,4.280000,N,N,and,1.0,7,1,-1,N,1,mfa_textgrid_phone
4.280000,4.330000,D,D,and,1.0,7,1,-1,D,2,mfa_textgrid_phone
4.330000,4.430000,F,F,fresh,1.0,8,1,-1,F,0,mfa_textgrid_phone
4.430000,4.490000,R,R,fresh,1.0,8,1,-1,R,1,mfa_textgrid_phone
4.490000,4.590000,EH1,EH1,fresh,1.0,8,1,-1,EH1,2,mfa_textgrid_phone
4.590000,4.910000,SH,SH,fresh,1.0,8,1,-1,SH,3,mfa_textgrid_phone
