start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.090000,0.250000,R,red,1.0,0,0,0,-1,mfa_textgrid_phone
0.250000,0.450000,EH1,red,1.0,0,0,1,-1,mfa_textgrid_phone
0.450000,0.610000,D,red,1.0,0,0,2,-1,mfa_textgrid_phone
0.840000,0.980000,AO1,orange,1.0,1,1,0,-1,mfa_textgrid_phone
0.980000,1.050000,R,orange,1.0,1,1,1,-1,mfa_textgrid_phone
1.050000,1.140000,AH0,orange,1.0,1,1,2,-1,mfa_textgrid_phone
1.140000,1.240000,N,orange,1.0,1,1,3,-1,mfa_textgrid_phone
1.240000,1.410000,JH,orange,1.0,1,1,4,-1,mfa_textgrid_phone
1.440000,1.610000,Y,yellow,1.0,2,1,0,-1,mfa_textgrid_phone
1.610000,1.680000,EH1,yellow,1.0,2,1,1,-1,mfa_textgrid_phone
1.680000,1.770000,L,yellow,1.0,2,1,2,-1,mfa_textgrid_phone
1.770000,1.950000,OW0,yellow,1.0,2,1,3,-1,mfa_textgrid_phone
1.950000,2.110000,G,green,1.0,3,1,0,-1,mfa_textgrid_phone
2.110000,2.210000,R,green,1.0,3,1,1,-1,mfa_textgrid_phone
2.210000,2.390000,IY1,green,1.0,3,1,2,-1,mfa_textgrid_phone
2.390000,2.480000,N,green,1.0,3,1,3,-1,mfa_textgrid_phone
2.480000,2.580000,B,blue,1.0,4,1,0,-1,mfa_textgrid_phone
2.580000,2.670000,L,blue,1.0,4,1,1,-1,mfa_textgrid_phone
2.670000,2.900000,UW1,blue,1.0,4,1,2,-1,mfa_textgrid_phone
2.960000,3.060000,IH1,indigo,1.0,5,1,0,-1,mfa_textgrid_phone
3.060000,3.100000,N,indigo,1.0,5,1,1,-1,mfa_textgrid_phone
3.100000,3.140000,D,indigo,1.0,5,1,2,-1,mfa_textgrid_phone
3.140000,3.180000,IH0,indigo,1.0,5,1,3,-1,mfa_textgrid_phone
3.180000,3.250000,G,indigo,1.0,5,1,4,-1,mfa_textgrid_phone
3.250000,3.530000,OW2,indigo,1.0,5,1,5,-1,mfa_textgrid_phone
3.610000,3.750000,V,violet,1.0,6,1,0,-1,mfa_textgrid_phone
3.750000,3.910000,AY1,violet,1.0,6,1,1,-1,mfa_textgrid_phone
3.910000,3.990000,L,violet,1.0,6,1,2,-1,mfa_textgrid_phone
3.990000,4.060000,IH0,violet,1.0,6,1,3,-1,mfa_textgrid_phone
4.060000,4.230000,T,violet,1.0,6,1,4,-1,mfa_textgrid_phone
4.700000,4.780000,AH0,a,1.0,7,2,0,-1,mfa_textgrid_phone
4.780000,4.910000,M,merry,1.0,8,2,0,-1,mfa_textgrid_phone
4.910000,4.980000,EH1,merry,1.0,8,2,1,-1,mfa_textgrid_phone
4.980000,5.060000,R,merry,1.0,8,2,2,-1,mfa_textgrid_phone
5.060000,5.130000,IY0,merry,1.0,8,2,3,-1,mfa_textgrid_phone
5.130000,5.220000,M,mix,1.0,9,2,0,-1,mfa_textgrid_phone
5.220000,5.290000,IH1,mix,1.0,9,2,1,-1,mfa_textgrid_phone
5.290000,5.350000,K,mix,1.0,9,2,2,-1,mfa_textgrid_phone
5.350000,5.420000,S,mix,1.0,9,2,3,-1,mfa_textgrid_phone
5.420000,5.470000,AH0,of,1.0,10,2,0,-1,mfa_textgrid_phone
5.470000,5.520000,V,of,1.0,10,2,1,-1,mfa_textgrid_phone
5.520000,5.620000,HH,hues,1.0,11,2,0,-1,mfa_textgrid_phone
5.620000,5.700000,Y,hues,1.0,11,2,1,-1,mfa_textgrid_phone
5.700000,5.880000,UW1,hues,1.0,11,2,2,-1,mfa_textgrid_phone
5.880000,6.060000,Z,hues,1.0,11,2,3,-1,mfa_textgrid_phone
