start,end,pose,phone,word,confidence,word_index,speech_region_index,phrase_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.090000,0.250000,R,R,red,1.0,0,0,0,-1,R,0,mfa_textgrid_phone
0.250000,0.450000,EH1,EH1,red,1.0,0,0,0,-1,EH1,1,mfa_textgrid_phone
0.450000,0.610000,D,D,red,1.0,0,0,0,-1,D,2,mfa_textgrid_phone
0.840000,0.980000,AO1,AO1,orange,1.0,1,1,1,-1,AO1,0,mfa_textgrid_phone
0.980000,1.050000,R,R,orange,1.0,1,1,1,-1,R,1,mfa_textgrid_phone
1.050000,1.140000,AH0,AH0,orange,1.0,1,1,1,-1,AH0,2,mfa_textgrid_phone
1.140000,1.240000,N,N,orange,1.0,1,1,1,-1,N,3,mfa_textgrid_phone
1.240000,1.410000,JH,JH,orange,1.0,1,1,1,-1,JH,4,mfa_textgrid_phone
1.440000,1.610000,Y,Y,yellow,1.0,2,1,1,-1,Y,0,mfa_textgrid_phone
1.610000,1.680000,EH1,EH1,yellow,1.0,2,1,1,-1,EH1,1,mfa_textgrid_phone
1.680000,1.770000,L,L,yellow,1.0,2,1,1,-1,L,2,mfa_textgrid_phone
1.770000,1.950000,OW0,OW0,yellow,1.0,2,1,1,-1,OW0,3,mfa_textgrid_phone
1.950000,2.110000,G,G,green,1.0,3,1,1,-1,G,0,mfa_textgrid_phone
2.110000,2.210000,R,R,green,1.0,3,1,1,-1,R,1,mfa_textgrid_phone
2.210000,2.390000,IY1,IY1,green,1.0,3,1,1,-1,IY1,2,mfa_textgrid_phone
2.390000,2.480000,N,N,green,1.0,3,1,1,-1,N,3,mfa_textgrid_phone
2.480000,2.580000,B,B,blue,1.0,4,1,1,-1,B,0,mfa_textgrid_phone
2.580000,2.670000,L,L,blue,1.0,4,1,1,-1,L,1,mfa_textgrid_phone
2.670000,2.900000,UW1,UW1,blue,1.0,4,1,1,-1,UW1,2,mfa_textgrid_phone
2.960000,3.060000,IH1,IH1,indigo,1.0,5,1,1,-1,IH1,0,mfa_textgrid_phone
3.060000,3.100000,N,N,indigo,1.0,5,1,1,-1,N,1,mfa_textgrid_phone
3.100000,3.140000,D,D,indigo,1.0,5,1,1,-1,D,2,mfa_textgrid_phone
3.140000,3.180000,IH0,IH0,indigo,1.0,5,1,1,-1,IH0,3,mfa_textgrid_phone
3.180000,3.250000,G,G,indigo,1.0,5,1,1,-1,G,4,mfa_textgrid_phone
3.250000,3.530000,OW2,OW2,indigo,1.0,5,1,1,-1,OW2,5,mfa_textgrid_phone
3.610000,3.750000,V,V,violet,1.0,6,1,1,-1,V,0,mfa_textgrid_phone
3.750000,3.910000,AY1,AY1,violet,1.0,6,1,1,-1,AY1,1,mfa_textgrid_phone
3.910000,3.990000,L,L,violet,1.0,6,1,1,-1,L,2,mfa_textgrid_phone
3.990000,4.060000,IH0,IH0,violet,1.0,6,1,1,-1,IH0,3,mfa_textgrid_phone
4.060000,4.230000,T,T,violet,1.0,6,1,1,-1,T,4,mfa_textgrid_phone
4.700000,4.780000,AH0,AH0,a,1.0,7,2,2,-1,AH0,0,mfa_textgrid_phone
4.780000,4.910000,M,M,merry,1.0,8,2,2,-1,M,0,mfa_textgrid_phone
4.910000,4.980000,EH1,EH1,merry,1.0,8,2,2,-1,EH1,1,mfa_textgrid_phone
4.980000,5.060000,R,R,merry,1.0,8,2,2,-1,R,2,mfa_textgrid_phone
5.060000,5.130000,IY0,IY0,merry,1.0,8,2,2,-1,IY0,3,mfa_textgrid_phone
5.130000,5.220000,M,M,mix,1.0,9,2,2,-1,M,0,mfa_textgrid_phone
5.220000,5.290000,IH1,IH1,mix,1.0,9,2,2,-1,IH1,1,mfa_textgrid_phone
5.290000,5.350000,K,K,mix,1.0,9,2,2,-1,K,2,mfa_textgrid_phone
5.350000,5.420000,S,S,mix,1.0,9,2,2,-1,S,3,mfa_textgrid_phone
5.420000,5.470000,AH0,AH0,of,1.0,10,2,2,-1,AH0,0,mfa_textgrid_phone
5.470000,5.520000,V,V,of,1.0,10,2,2,-1,V,1,mfa_textgrid_phone
5.520000,5.620000,HH,HH,hues,1.0,11,2,2,-1,HH,0,mfa_textgrid_phone
5.620000,5.700000,Y,Y,hues,1.0,11,2,2,-1,Y,1,mfa_textgrid_phone
5.700000,5.880000,UW1,UW1,hues,1.0,11,2,2,-1,UW1,2,mfa_textgrid_phone
5.880000,6.060000,Z,Z,hues,1.0,11,2,2,-1,Z,3,mfa_textgrid_phone
