start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.250000,0.390000,S,S,scratch,1.0,0,0,-1,S,0,mfa_textgrid_phone
0.390000,0.450000,K,K,scratch,1.0,0,0,-1,K,1,mfa_textgrid_phone
0.450000,0.510000,R,R,scratch,1.0,0,0,-1,R,2,mfa_textgrid_phone
0.510000,0.620000,AE1,AE1,scratch,1.0,0,0,-1,AE1,3,mfa_textgrid_phone
0.620000,0.740000,CH,CH,scratch,1.0,0,0,-1,CH,4,mfa_textgrid_phone
0.740000,0.780000,Y,Y,your,1.0,1,0,-1,Y,0,mfa_textgrid_phone
0.780000,0.810000,UH1,UH1,your,1.0,1,0,-1,UH1,1,mfa_textgrid_phone
0.810000,0.840000,R,R,your,1.0,1,0,-1,R,2,mfa_textgrid_phone
0.840000,0.920000,N,N,nose,1.0,2,0,-1,N,0,mfa_textgrid_phone
0.920000,1.170000,OW1,OW1,nose,1.0,2,0,-1,OW1,1,mfa_textgrid_phone
1.170000,1.360000,Z,Z,nose,1.0,2,0,-1,Z,2,mfa_textgrid_phone
1.470000,1.590000,HH,HH,hum,1.0,3,0,-1,HH,0,mfa_textgrid_phone
1.590000,1.670000,AH1,AH1,hum,1.0,3,0,-1,AH1,1,mfa_textgrid_phone
1.670000,1.720000,M,M,hum,1.0,3,0,-1,M,2,mfa_textgrid_phone
1.720000,1.770000,AH0,AH0,a,1.0,4,0,-1,AH0,0,mfa_textgrid_phone
1.770000,1.880000,T,T,tune,1.0,5,0,-1,T,0,mfa_textgrid_phone
1.880000,2.090000,UW1,UW1,tune,1.0,5,0,-1,UW1,1,mfa_textgrid_phone
2.090000,2.240000,N,N,tune,1.0,5,0,-1,N,2,mfa_textgrid_phone
2.450000,2.510000,K,K,count,1.0,6,1,-1,K,0,mfa_textgrid_phone
2.510000,2.620000,AW1,AW1,count,1.0,6,1,-1,AW1,1,mfa_textgrid_phone
2.620000,2.650000,N,N,count,1.0,6,1,-1,N,2,mfa_textgrid_phone
2.650000,2.680000,T,T,count,1.0,6,1,-1,T,3,mfa_textgrid_phone
2.680000,2.710000,Y,Y,your,1.0,7,1,-1,Y,0,mfa_textgrid_phone
2.710000,2.740000,UH1,UH1,your,1.0,7,1,-1,UH1,1,mfa_textgrid_phone
2.740000,2.770000,R,R,your,1.0,7,1,-1,R,2,mfa_textgrid_phone
