word_index,word,start,end,speech_region_index,sentence_index
0,scratch,0.250000,0.740000,0,-1
1,your,0.740000,0.840000,0,-1
2,nose,0.840000,1.360000,0,-1
3,hum,1.470000,1.720000,0,-1
4,a,1.720000,1.770000,0,-1
5,tune,1.770000,2.240000,0,-1
6,count,2.450000,2.680000,1,-1
7,your,2.680000,2.770000,1,-1
8,steps,2.770000,3.300000,1,-1
9,whisper,3.570000,3.970000,2,-1
10,a,3.970000,4.020000,2,-1
11,secret,4.020000,4.530000,2,-1
12,and,4.750000,4.900000,3,-1
13,touch,4.900000,5.190000,3,-1
14,your,5.190000,5.280000,3,-1
15,lucky,5.280000,5.580000,3,-1
16,charm,5.580000,6.020000,3,-1
