word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,sandwiches,0.310000,1.230000,0,-1,-1
1,chips,1.360000,1.840000,0,-1,-1
2,maybe,1.840000,2.140000,0,-1,-1
3,a,2.140000,2.200000,0,-1,-1
4,hot,2.200000,2.470000,0,-1,-1
5,dog,2.470000,2.840000,0,-1,-1
6,simple,3.560000,3.950000,1,-1,-1
7,stuff,3.950000,4.390000,1,-1,-1
8,but,4.420000,4.540000,1,-1,-1
9,it,4.540000,4.620000,1,-1,-1
10,hits,4.620000,4.830000,1,-1,-1
11,the,4.830000,4.920000,1,-1,-1
12,spot,4.920000,5.360000,1,-1,-1
