start,end,pose,phone,word,confidence,word_index,speech_region_index,phrase_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.180000,0.270000,IH0,IH0,inventions,1.0,0,0,0,-1,IH0,0,mfa_textgrid_phone
0.270000,0.360000,N,N,inventions,1.0,0,0,0,-1,N,1,mfa_textgrid_phone
0.360000,0.420000,V,V,inventions,1.0,0,0,0,-1,V,2,mfa_textgrid_phone
0.420000,0.500000,EH1,EH1,inventions,1.0,0,0,0,-1,EH1,3,mfa_textgrid_phone
0.500000,0.550000,N,N,inventions,1.0,0,0,0,-1,N,4,mfa_textgrid_phone
0.550000,0.640000,SH,SH,inventions,1.0,0,0,0,-1,SH,5,mfa_textgrid_phone
0.640000,0.720000,AH0,AH0,inventions,1.0,0,0,0,-1,AH0,6,mfa_textgrid_phone
0.720000,0.820000,N,N,inventions,1.0,0,0,0,-1,N,7,mfa_textgrid_phone
0.820000,1.010000,Z,Z,inventions,1.0,0,0,0,-1,Z,8,mfa_textgrid_phone
1.460000,1.570000,L,L,light,1.0,1,1,1,-1,L,0,mfa_textgrid_phone
1.570000,1.670000,AY1,AY1,light,1.0,1,1,1,-1,AY1,1,mfa_textgrid_phone
1.670000,1.760000,T,T,light,1.0,1,1,1,-1,T,2,mfa_textgrid_phone
1.760000,1.810000,B,B,bulb,1.0,2,1,1,-1,B,0,mfa_textgrid_phone
1.810000,1.840000,AH1,AH1,bulb,1.0,2,1,1,-1,AH1,1,mfa_textgrid_phone
1.840000,2.040000,L,L,bulb,1.0,2,1,1,-1,L,2,mfa_textgrid_phone
2.040000,2.160000,B,B,bulb,1.0,2,1,1,-1,B,3,mfa_textgrid_phone
2.290000,2.450000,W,W,wheel,1.0,3,1,1,-1,W,0,mfa_textgrid_phone
2.450000,2.640000,IY1,IY1,wheel,1.0,3,1,1,-1,IY1,1,mfa_textgrid_phone
2.640000,2.870000,L,L,wheel,1.0,3,1,1,-1,L,2,mfa_textgrid_phone
3.160000,3.260000,IH1,IH1,internet,1.0,4,2,2,-1,IH1,0,mfa_textgrid_phone
3.260000,3.290000,N,N,internet,1.0,4,2,2,-1,N,1,mfa_textgrid_phone
3.290000,3.320000,T,T,internet,1.0,4,2,2,-1,T,2,mfa_textgrid_phone
3.320000,3.380000,ER0,ER0,internet,1.0,4,2,2,-1,ER0,3,mfa_textgrid_phone
3.380000,3.430000,N,N,internet,1.0,4,2,2,-1,N,4,mfa_textgrid_phone
3.430000,3.570000,EH2,EH2,internet,1.0,4,2,2,-1,EH2,5,mfa_textgrid_phone
3.570000,3.630000,T,T,internet,1.0,4,2,2,-1,T,6,mfa_textgrid_phone
4.090000,4.170000,K,K,can't,1.0,5,3,3,-1,K,0,mfa_textgrid_phone
4.170000,4.320000,AE1,AE1,can't,1.0,5,3,3,-1,AE1,1,mfa_textgrid_phone
4.320000,4.350000,N,N,can't,1.0,5,3,3,-1,N,2,mfa_textgrid_phone
4.350000,4.380000,T,T,can't,1.0,5,3,3,-1,T,3,mfa_textgrid_phone
4.380000,4.470000,L,L,live,1.0,6,3,3,-1,L,0,mfa_textgrid_phone
4.470000,4.580000,IH1,IH1,live,1.0,6,3,3,-1,IH1,1,mfa_textgrid_phone
4.580000,4.640000,V,V,live,1.0,6,3,3,-1,V,2,mfa_textgrid_phone
4.640000,4.690000,W,W,without,1.0,7,3,3,-1,W,0,mfa_textgrid_phone
4.690000,4.730000,IH0,IH0,without,1.0,7,3,3,-1,IH0,1,mfa_textgrid_phone
4.730000,4.780000,DH,DH,without,1.0,7,3,3,-1,DH,2,mfa_textgrid_phone
4.780000,4.940000,AW1,AW1,without,1.0,7,3,3,-1,AW1,3,mfa_textgrid_phone
4.940000,4.970000,T,T,without,1.0,7,3,3,-1,T,4,mfa_textgrid_phone
4.970000,5.030000,EH1,EH1,'em,1.0,8,3,3,-1,EH1,0,mfa_textgrid_phone
5.030000,5.170000,M,M,'em,1.0,8,3,3,-1,M,1,mfa_textgrid_phone
