word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,ancient,1,egypt,,,none,0,none,0.040000,0.040000,0.000000,0.040000,0,0
1,egypt,2,renaissance,",",",",soft_pause,0,none,0.090000,0.090000,0.090000,0.090000,0,0
2,renaissance,3,wild,",",",",soft_pause,0,none,0.110000,0.110000,0.110000,0.110000,0,0
3,wild,4,west,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,west,5,space,",",",",region_break,1,comma_with_lull,0.170000,0.170000,0.170000,0.170000,0,1
5,space,6,age,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
6,age,7,each,.,.,region_break,1,hard_punctuation_with_lull,0.590000,0.590000,0.590000,0.590000,1,2
7,each,8,with,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
8,with,9,its,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
9,its,10,own,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
10,own,11,story,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
