word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,we've,0.860000,1.060000,0,-1,-1
1,got,1.060000,1.260000,0,-1,-1
2,sandwiches,1.260000,1.830000,0,-1,-1
3,for,1.830000,1.950000,0,-1,-1
4,five,1.950000,2.310000,0,-1,-1
5,dollars,2.310000,2.760000,0,-1,-1
6,and,2.760000,2.870000,0,-1,-1
7,chips,2.870000,3.170000,0,-1,-1
8,for,3.170000,3.300000,0,-1,-1
9,two,3.300000,3.700000,0,-1,-1
10,what'll,4.370000,4.580000,1,-1,-1
11,it,4.580000,4.650000,1,-1,-1
12,be,4.650000,4.940000,1,-1,-1
