start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.000000,0.040000,HH,HH,hello,1.0,0,0,-1,HH,0,mfa_textgrid_phone
0.040000,0.090000,AH0,AH0,hello,1.0,0,0,-1,AH0,1,mfa_textgrid_phone
0.090000,0.190000,L,L,hello,1.0,0,0,-1,L,2,mfa_textgrid_phone
0.190000,0.340000,OW1,OW1,hello,1.0,0,0,-1,OW1,3,mfa_textgrid_phone
0.340000,0.420000,DH,DH,there,1.0,1,0,-1,DH,0,mfa_textgrid_phone
0.420000,0.550000,EH1,EH1,there,1.0,1,0,-1,EH1,1,mfa_textgrid_phone
0.550000,0.820000,R,R,there,1.0,1,0,-1,R,2,mfa_textgrid_phone
1.040000,1.070000,HH,HH,what,1.0,2,1,-1,HH,0,mfa_textgrid_phone
1.070000,1.180000,W,W,what,1.0,2,1,-1,W,1,mfa_textgrid_phone
1.180000,1.240000,AH1,AH1,what,1.0,2,1,-1,AH1,2,mfa_textgrid_phone
1.240000,1.290000,T,T,what,1.0,2,1,-1,T,3,mfa_textgrid_phone
1.290000,1.380000,K,K,can,1.0,3,1,-1,K,0,mfa_textgrid_phone
1.380000,1.410000,AE1,AE1,can,1.0,3,1,-1,AE1,1,mfa_textgrid_phone
1.410000,1.450000,N,N,can,1.0,3,1,-1,N,2,mfa_textgrid_phone
1.450000,1.570000,AY1,AY1,i,1.0,4,1,-1,AY1,0,mfa_textgrid_phone
1.570000,1.690000,G,G,get,1.0,5,1,-1,G,0,mfa_textgrid_phone
1.690000,1.770000,EH1,EH1,get,1.0,5,1,-1,EH1,1,mfa_textgrid_phone
1.770000,1.810000,T,T,get,1.0,5,1,-1,T,2,mfa_textgrid_phone
1.810000,1.920000,F,F,for,1.0,6,1,-1,F,0,mfa_textgrid_phone
1.920000,1.960000,ER0,ER0,for,1.0,6,1,-1,ER0,1,mfa_textgrid_phone
1.960000,2.060000,Y,Y,you,1.0,7,1,-1,Y,0,mfa_textgrid_phone
2.060000,2.120000,UW1,UW1,you,1.0,7,1,-1,UW1,1,mfa_textgrid_phone
2.120000,2.200000,T,T,today,1.0,8,1,-1,T,0,mfa_textgrid_phone
2.200000,2.250000,AH0,AH0,today,1.0,8,1,-1,AH0,1,mfa_textgrid_phone
2.250000,2.300000,D,D,today,1.0,8,1,-1,D,2,mfa_textgrid_phone
2.300000,2.620000,EY1,EY1,today,1.0,8,1,-1,EY1,3,mfa_textgrid_phone
