word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,we've,0.310000,0.510000,0,-1,-1
1,got,0.510000,0.730000,0,-1,-1
2,sandwiches,0.730000,1.340000,0,-1,-1
3,for,1.340000,1.480000,0,-1,-1
4,five,1.480000,1.850000,0,-1,-1
5,dollars,1.850000,2.230000,0,-1,-1
6,and,2.230000,2.350000,0,-1,-1
7,chips,2.350000,2.700000,0,-1,-1
8,for,2.700000,2.850000,0,-1,-1
9,two,2.850000,3.310000,0,-1,-1
10,what'll,3.770000,4.090000,1,-1,-1
11,it,4.090000,4.190000,1,-1,-1
12,be,4.190000,4.460000,1,-1,-1
