start,end,pose,phone,word,confidence,word_index,speech_region_index,phrase_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.310000,0.460000,R,R,red,1.0,0,0,0,-1,R,0,mfa_textgrid_phone
0.460000,0.680000,EH1,EH1,red,1.0,0,0,0,-1,EH1,1,mfa_textgrid_phone
0.680000,0.870000,D,D,red,1.0,0,0,0,-1,D,2,mfa_textgrid_phone
1.220000,1.380000,AO1,AO1,orange,1.0,1,1,1,-1,AO1,0,mfa_textgrid_phone
1.380000,1.500000,R,R,orange,1.0,1,1,1,-1,R,1,mfa_textgrid_phone
1.500000,1.590000,IH0,IH0,orange,1.0,1,1,1,-1,IH0,2,mfa_textgrid_phone
1.590000,1.710000,N,N,orange,1.0,1,1,1,-1,N,3,mfa_textgrid_phone
1.710000,1.920000,JH,JH,orange,1.0,1,1,1,-1,JH,4,mfa_textgrid_phone
2.130000,2.280000,Y,Y,yellow,1.0,2,2,2,-1,Y,0,mfa_textgrid_phone
2.280000,2.350000,EH1,EH1,yellow,1.0,2,2,2,-1,EH1,1,mfa_textgrid_phone
2.350000,2.460000,L,L,yellow,1.0,2,2,2,-1,L,2,mfa_textgrid_phone
2.460000,2.760000,OW0,OW0,yellow,1.0,2,2,2,-1,OW0,3,mfa_textgrid_phone
3.050000,3.100000,G,G,green,1.0,3,3,3,-1,G,0,mfa_textgrid_phone
3.100000,3.230000,R,R,green,1.0,3,3,3,-1,R,1,mfa_textgrid_phone
3.230000,3.440000,IY1,IY1,green,1.0,3,3,3,-1,IY1,2,mfa_textgrid_phone
3.440000,3.600000,N,N,green,1.0,3,3,3,-1,N,3,mfa_textgrid_phone
3.950000,3.990000,B,B,blue,1.0,4,4,4,-1,B,0,mfa_textgrid_phone
3.990000,4.100000,L,L,blue,1.0,4,4,4,-1,L,1,mfa_textgrid_phone
4.100000,4.430000,UW1,UW1,blue,1.0,4,4,4,-1,UW1,2,mfa_textgrid_phone
4.670000,4.750000,IH1,IH1,indigo,1.0,5,5,5,-1,IH1,0,mfa_textgrid_phone
4.750000,4.810000,N,N,indigo,1.0,5,5,5,-1,N,1,mfa_textgrid_phone
4.810000,4.850000,D,D,indigo,1.0,5,5,5,-1,D,2,mfa_textgrid_phone
4.850000,4.890000,IH0,IH0,indigo,1.0,5,5,5,-1,IH0,3,mfa_textgrid_phone
4.890000,4.970000,G,G,indigo,1.0,5,5,5,-1,G,4,mfa_textgrid_phone
4.970000,5.260000,OW2,OW2,indigo,1.0,5,5,5,-1,OW2,5,mfa_textgrid_phone
5.480000,5.620000,V,V,violet,1.0,6,6,6,-1,V,0,mfa_textgrid_phone
5.620000,5.750000,AY1,AY1,violet,1.0,6,6,6,-1,AY1,1,mfa_textgrid_phone
5.750000,5.830000,AH0,AH0,violet,1.0,6,6,6,-1,AH0,2,mfa_textgrid_phone
5.830000,5.880000,L,L,violet,1.0,6,6,6,-1,L,3,mfa_textgrid_phone
5.880000,5.960000,IH0,IH0,violet,1.0,6,6,6,-1,IH0,4,mfa_textgrid_phone
5.960000,6.070000,T,T,violet,1.0,6,6,6,-1,T,5,mfa_textgrid_phone
6.380000,6.470000,N,N,need,1.0,7,7,7,-1,N,0,mfa_textgrid_phone
6.470000,6.570000,IY1,IY1,need,1.0,7,7,7,-1,IY1,1,mfa_textgrid_phone
6.570000,6.610000,D,D,need,1.0,7,7,7,-1,D,2,mfa_textgrid_phone
6.610000,6.680000,EH1,EH1,anything,1.0,8,7,7,-1,EH1,0,mfa_textgrid_phone
6.680000,6.730000,N,N,anything,1.0,8,7,7,-1,N,1,mfa_textgrid_phone
6.730000,6.770000,IY0,IY0,anything,1.0,8,7,7,-1,IY0,2,mfa_textgrid_phone
6.770000,6.840000,TH,TH,anything,1.0,8,7,7,-1,TH,3,mfa_textgrid_phone
6.840000,6.880000,IH2,IH2,anything,1.0,8,7,7,-1,IH2,4,mfa_textgrid_phone
6.880000,6.950000,NG,NG,anything,1.0,8,7,7,-1,NG,5,mfa_textgrid_phone
6.950000,7.010000,EH1,EH1,else,1.0,9,7,7,-1,EH1,0,mfa_textgrid_phone
7.010000,7.110000,L,L,else,1.0,9,7,7,-1,L,1,mfa_textgrid_phone
7.110000,7.310000,S,S,else,1.0,9,7,7,-1,S,2,mfa_textgrid_phone
