word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,muffins,1,are,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,are,2,good,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,good,3,we,!,!,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,we,4,don't,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,don't,5,have,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
5,have,6,them,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
6,them,7,but,",",",",none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
7,but,8,i,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
8,i,9,can,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
9,can,10,order,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
10,order,11,some,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
11,some,12,in,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
12,in,13,if,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
13,if,14,you,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
14,you,15,want,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
