start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.420000,0.610000,M,muffins,1.0,0,0,0,-1,mfa_textgrid_phone
0.610000,0.740000,AH1,muffins,1.0,0,0,1,-1,mfa_textgrid_phone
0.740000,0.830000,F,muffins,1.0,0,0,2,-1,mfa_textgrid_phone
0.830000,0.910000,AH0,muffins,1.0,0,0,3,-1,mfa_textgrid_phone
0.910000,0.960000,N,muffins,1.0,0,0,4,-1,mfa_textgrid_phone
0.960000,1.030000,Z,muffins,1.0,0,0,5,-1,mfa_textgrid_phone
1.030000,1.120000,ER0,are,1.0,1,0,0,-1,mfa_textgrid_phone
1.120000,1.310000,G,good,1.0,2,0,0,-1,mfa_textgrid_phone
1.310000,1.600000,UH1,good,1.0,2,0,1,-1,mfa_textgrid_phone
1.600000,1.650000,D,good,1.0,2,0,2,-1,mfa_textgrid_phone
1.650000,1.820000,W,we,1.0,3,0,0,-1,mfa_textgrid_phone
1.820000,1.880000,IY1,we,1.0,3,0,1,-1,mfa_textgrid_phone
1.880000,1.910000,D,don't,1.0,4,0,0,-1,mfa_textgrid_phone
1.910000,2.020000,OW1,don't,1.0,4,0,1,-1,mfa_textgrid_phone
2.020000,2.050000,N,don't,1.0,4,0,2,-1,mfa_textgrid_phone
2.050000,2.130000,HH,have,1.0,5,0,0,-1,mfa_textgrid_phone
2.130000,2.320000,AE1,have,1.0,5,0,1,-1,mfa_textgrid_phone
2.320000,2.370000,V,have,1.0,5,0,2,-1,mfa_textgrid_phone
2.370000,2.410000,DH,them,1.0,6,0,0,-1,mfa_textgrid_phone
2.410000,2.510000,EH1,them,1.0,6,0,1,-1,mfa_textgrid_phone
2.510000,2.590000,M,them,1.0,6,0,2,-1,mfa_textgrid_phone
2.590000,2.630000,B,but,1.0,7,0,0,-1,mfa_textgrid_phone
2.630000,2.670000,AH1,but,1.0,7,0,1,-1,mfa_textgrid_phone
2.670000,2.700000,T,but,1.0,7,0,2,-1,mfa_textgrid_phone
2.700000,2.810000,AY1,i,1.0,8,0,0,-1,mfa_textgrid_phone
2.810000,2.880000,K,can,1.0,9,0,0,-1,mfa_textgrid_phone
2.880000,2.930000,AH0,can,1.0,9,0,1,-1,mfa_textgrid_phone
2.930000,2.960000,N,can,1.0,9,0,2,-1,mfa_textgrid_phone
2.960000,3.070000,AO1,order,1.0,10,0,0,-1,mfa_textgrid_phone
3.070000,3.110000,R,order,1.0,10,0,1,-1,mfa_textgrid_phone
3.110000,3.150000,D,order,1.0,10,0,2,-1,mfa_textgrid_phone
3.150000,3.210000,ER0,order,1.0,10,0,3,-1,mfa_textgrid_phone
3.210000,3.320000,S,some,1.0,11,0,0,-1,mfa_textgrid_phone
3.320000,3.410000,AH1,some,1.0,11,0,1,-1,mfa_textgrid_phone
3.410000,3.460000,M,some,1.0,11,0,2,-1,mfa_textgrid_phone
3.460000,3.570000,IH1,in,1.0,12,0,0,-1,mfa_textgrid_phone
3.570000,3.600000,N,in,1.0,12,0,1,-1,mfa_textgrid_phone
3.600000,3.650000,IH1,if,1.0,13,0,0,-1,mfa_textgrid_phone
3.650000,3.740000,F,if,1.0,13,0,1,-1,mfa_textgrid_phone
3.740000,3.780000,Y,you,1.0,14,0,0,-1,mfa_textgrid_phone
3.780000,3.830000,UW1,you,1.0,14,0,1,-1,mfa_textgrid_phone
3.830000,3.930000,W,want,1.0,15,0,0,-1,mfa_textgrid_phone
3.930000,4.120000,AA1,want,1.0,15,0,1,-1,mfa_textgrid_phone
4.120000,4.170000,N,want,1.0,15,0,2,-1,mfa_textgrid_phone
4.170000,4.290000,T,want,1.0,15,0,3,-1,mfa_textgrid_phone
