start,end,phone,word,confidence,word_index,speech_region_index,phone_index,phrase_index,sentence_index,alignment_reason
0.180000,1.020000,spn,strawberry's,1.0,0,0,0,0,-1,mfa_textgrid_phone
1.020000,1.070000,M,my,1.0,1,0,0,0,-1,mfa_textgrid_phone
1.070000,1.180000,AY1,my,1.0,1,0,1,0,-1,mfa_textgrid_phone
1.180000,1.280000,F,favorite,1.0,2,0,0,0,-1,mfa_textgrid_phone
1.280000,1.410000,EY1,favorite,1.0,2,0,1,0,-1,mfa_textgrid_phone
1.410000,1.470000,V,favorite,1.0,2,0,2,0,-1,mfa_textgrid_phone
1.470000,1.520000,R,favorite,1.0,2,0,3,0,-1,mfa_textgrid_phone
1.520000,1.610000,AH0,favorite,1.0,2,0,4,0,-1,mfa_textgrid_phone
1.610000,1.680000,T,favorite,1.0,2,0,5,0,-1,mfa_textgrid_phone
1.680000,1.720000,B,but,1.0,3,0,0,0,-1,mfa_textgrid_phone
1.720000,1.780000,AH1,but,1.0,3,0,1,0,-1,mfa_textgrid_phone
1.780000,1.830000,T,but,1.0,3,0,2,0,-1,mfa_textgrid_phone
1.830000,1.860000,DH,they're,1.0,4,0,0,0,-1,mfa_textgrid_phone
1.860000,1.920000,EH1,they're,1.0,4,0,1,0,-1,mfa_textgrid_phone
1.920000,1.980000,R,they're,1.0,4,0,2,0,-1,mfa_textgrid_phone
1.980000,2.150000,AA1,all,1.0,5,0,0,0,-1,mfa_textgrid_phone
2.150000,2.230000,L,all,1.0,5,0,1,0,-1,mfa_textgrid_phone
2.230000,2.320000,Y,yummy,1.0,6,0,0,0,-1,mfa_textgrid_phone
2.320000,2.440000,AH1,yummy,1.0,6,0,1,0,-1,mfa_textgrid_phone
2.440000,2.510000,M,yummy,1.0,6,0,2,0,-1,mfa_textgrid_phone
2.510000,2.790000,IY0,yummy,1.0,6,0,3,0,-1,mfa_textgrid_phone
