word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,in,1,my,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,my,2,neighborhood,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,neighborhood,3,they,",",",",none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,they,4,need,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,need,5,more,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
5,more,6,votes,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
6,votes,7,than,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
7,than,8,i,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
8,i,9,have,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
9,have,10,fingers,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
