start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.220000,0.320000,IH1,in,1.0,0,0,0,-1,mfa_textgrid_phone
0.320000,0.350000,N,in,1.0,0,0,1,-1,mfa_textgrid_phone
0.350000,0.400000,M,my,1.0,1,0,0,-1,mfa_textgrid_phone
0.400000,0.500000,AY1,my,1.0,1,0,1,-1,mfa_textgrid_phone
0.500000,0.580000,N,neighborhood,1.0,2,0,0,-1,mfa_textgrid_phone
0.580000,0.680000,EY1,neighborhood,1.0,2,0,1,-1,mfa_textgrid_phone
0.680000,0.750000,B,neighborhood,1.0,2,0,2,-1,mfa_textgrid_phone
0.750000,0.830000,ER0,neighborhood,1.0,2,0,3,-1,mfa_textgrid_phone
0.830000,0.880000,HH,neighborhood,1.0,2,0,4,-1,mfa_textgrid_phone
0.880000,1.000000,UH2,neighborhood,1.0,2,0,5,-1,mfa_textgrid_phone
1.000000,1.090000,D,neighborhood,1.0,2,0,6,-1,mfa_textgrid_phone
1.090000,1.130000,DH,they,1.0,3,0,0,-1,mfa_textgrid_phone
1.130000,1.250000,EY1,they,1.0,3,0,1,-1,mfa_textgrid_phone
1.250000,1.310000,N,need,1.0,4,0,0,-1,mfa_textgrid_phone
1.310000,1.400000,IY1,need,1.0,4,0,1,-1,mfa_textgrid_phone
1.400000,1.450000,D,need,1.0,4,0,2,-1,mfa_textgrid_phone
1.450000,1.530000,M,more,1.0,5,0,0,-1,mfa_textgrid_phone
1.530000,1.630000,AO1,more,1.0,5,0,1,-1,mfa_textgrid_phone
1.630000,1.700000,R,more,1.0,5,0,2,-1,mfa_textgrid_phone
1.700000,1.770000,V,votes,1.0,6,0,0,-1,mfa_textgrid_phone
1.770000,1.910000,OW1,votes,1.0,6,0,1,-1,mfa_textgrid_phone
1.910000,1.960000,T,votes,1.0,6,0,2,-1,mfa_textgrid_phone
1.960000,2.020000,S,votes,1.0,6,0,3,-1,mfa_textgrid_phone
2.020000,2.070000,DH,than,1.0,7,0,0,-1,mfa_textgrid_phone
2.070000,2.130000,AH0,than,1.0,7,0,1,-1,mfa_textgrid_phone
2.130000,2.170000,N,than,1.0,7,0,2,-1,mfa_textgrid_phone
2.170000,2.280000,AY1,i,1.0,8,0,0,-1,mfa_textgrid_phone
2.280000,2.350000,HH,have,1.0,9,0,0,-1,mfa_textgrid_phone
2.350000,2.490000,AE1,have,1.0,9,0,1,-1,mfa_textgrid_phone
2.490000,2.530000,V,have,1.0,9,0,2,-1,mfa_textgrid_phone
2.530000,2.630000,F,fingers,1.0,10,0,0,-1,mfa_textgrid_phone
2.630000,2.700000,IH1,fingers,1.0,10,0,1,-1,mfa_textgrid_phone
2.700000,2.770000,NG,fingers,1.0,10,0,2,-1,mfa_textgrid_phone
2.770000,2.820000,G,fingers,1.0,10,0,3,-1,mfa_textgrid_phone
2.820000,2.970000,ER0,fingers,1.0,10,0,4,-1,mfa_textgrid_phone
2.970000,3.230000,Z,fingers,1.0,10,0,5,-1,mfa_textgrid_phone
