word_index,word,start,end,speech_region_index,sentence_index
0,frogs,0.000000,0.490000,0,-1
1,tend,0.490000,0.770000,0,-1
2,to,0.770000,0.860000,0,-1
3,live,0.860000,1.100000,0,-1
4,near,1.100000,1.300000,0,-1
5,water,1.300000,1.810000,0,-1
6,toads,1.940000,2.360000,1,-1
7,prefer,2.360000,2.760000,1,-1
8,drier,2.760000,3.190000,1,-1
9,spots,3.190000,3.760000,1,-1
10,but,4.150000,4.290000,2,-1
11,they're,4.290000,4.400000,2,-1
12,both,4.400000,4.690000,2,-1
13,good,4.690000,4.870000,2,-1
14,jumpers,4.870000,5.470000,2,-1
