start,end,pose,phone,word,confidence,word_index,speech_region_index,phrase_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.160000,0.230000,DH,DH,the,1.0,0,0,0,-1,DH,0,mfa_textgrid_phone
0.230000,0.280000,AH0,AH0,the,1.0,0,0,0,-1,AH0,1,mfa_textgrid_phone
0.280000,0.380000,T,T,turkey,1.0,1,0,0,-1,T,0,mfa_textgrid_phone
0.380000,0.490000,ER1,ER1,turkey,1.0,1,0,0,-1,ER1,1,mfa_textgrid_phone
0.490000,0.550000,K,K,turkey,1.0,1,0,0,-1,K,2,mfa_textgrid_phone
0.550000,0.620000,IY0,IY0,turkey,1.0,1,0,0,-1,IY0,3,mfa_textgrid_phone
0.620000,0.740000,S,S,sandwich,1.0,2,0,0,-1,S,0,mfa_textgrid_phone
0.740000,0.880000,AE1,AE1,sandwich,1.0,2,0,0,-1,AE1,1,mfa_textgrid_phone
0.880000,0.930000,M,M,sandwich,1.0,2,0,0,-1,M,2,mfa_textgrid_phone
0.930000,0.980000,W,W,sandwich,1.0,2,0,0,-1,W,3,mfa_textgrid_phone
0.980000,1.050000,IH0,IH0,sandwich,1.0,2,0,0,-1,IH0,4,mfa_textgrid_phone
1.050000,1.180000,CH,CH,sandwich,1.0,2,0,0,-1,CH,5,mfa_textgrid_phone
1.210000,1.330000,IH1,IH1,is,1.0,3,0,0,-1,IH1,0,mfa_textgrid_phone
1.330000,1.420000,Z,Z,is,1.0,3,0,0,-1,Z,1,mfa_textgrid_phone
1.530000,1.730000,AO1,AO1,always,1.0,4,0,0,-1,AO1,0,mfa_textgrid_phone
1.730000,1.810000,L,L,always,1.0,4,0,0,-1,L,1,mfa_textgrid_phone
1.810000,1.880000,W,W,always,1.0,4,0,0,-1,W,2,mfa_textgrid_phone
1.880000,2.010000,IY0,IY0,always,1.0,4,0,0,-1,IY0,3,mfa_textgrid_phone
2.010000,2.080000,Z,Z,always,1.0,4,0,0,-1,Z,4,mfa_textgrid_phone
2.080000,2.200000,AH0,AH0,a,1.0,5,0,0,-1,AH0,0,mfa_textgrid_phone
2.200000,2.350000,W,W,winner,1.0,6,0,0,-1,W,0,mfa_textgrid_phone
2.350000,2.440000,IH1,IH1,winner,1.0,6,0,0,-1,IH1,1,mfa_textgrid_phone
2.440000,2.490000,N,N,winner,1.0,6,0,0,-1,N,2,mfa_textgrid_phone
2.490000,2.800000,ER0,ER0,winner,1.0,6,0,0,-1,ER0,3,mfa_textgrid_phone
2.870000,2.970000,N,N,nice,1.0,7,0,0,-1,N,0,mfa_textgrid_phone
2.970000,3.120000,AY1,AY1,nice,1.0,7,0,0,-1,AY1,1,mfa_textgrid_phone
3.120000,3.250000,S,S,nice,1.0,7,0,0,-1,S,2,mfa_textgrid_phone
3.250000,3.340000,AE1,AE1,and,1.0,8,0,0,-1,AE1,0,mfa_textgrid_phone
3.340000,3.380000,N,N,and,1.0,8,0,0,-1,N,1,mfa_textgrid_phone
3.380000,3.430000,D,D,and,1.0,8,0,0,-1,D,2,mfa_textgrid_phone
3.430000,3.520000,S,S,satisfying,1.0,9,0,0,-1,S,0,mfa_textgrid_phone
3.520000,3.650000,AE1,AE1,satisfying,1.0,9,0,0,-1,AE1,1,mfa_textgrid_phone
3.650000,3.680000,T,T,satisfying,1.0,9,0,0,-1,T,2,mfa_textgrid_phone
3.680000,3.730000,IH0,IH0,satisfying,1.0,9,0,0,-1,IH0,3,mfa_textgrid_phone
3.730000,3.800000,S,S,satisfying,1.0,9,0,0,-1,S,4,mfa_textgrid_phone
3.800000,3.860000,F,F,satisfying,1.0,9,0,0,-1,F,5,mfa_textgrid_phone
3.860000,4.050000,AY2,AY2,satisfying,1.0,9,0,0,-1,AY2,6,mfa_textgrid_phone
4.050000,4.110000,IH0,IH0,satisfying,1.0,9,0,0,-1,IH0,7,mfa_textgrid_phone
4.110000,4.230000,NG,NG,satisfying,1.0,9,0,0,-1,NG,8,mfa_textgrid_phone
