start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.000000,0.040000,T,turkey,1.0,0,0,0,-1,mfa_textgrid_phone
0.040000,0.140000,ER1,turkey,1.0,0,0,1,-1,mfa_textgrid_phone
0.140000,0.230000,K,turkey,1.0,0,0,2,-1,mfa_textgrid_phone
0.230000,0.430000,IY0,turkey,1.0,0,0,3,-1,mfa_textgrid_phone
0.510000,0.630000,L,lettuce,1.0,1,0,0,-1,mfa_textgrid_phone
0.630000,0.710000,EH1,lettuce,1.0,1,0,1,-1,mfa_textgrid_phone
0.710000,0.750000,T,lettuce,1.0,1,0,2,-1,mfa_textgrid_phone
0.750000,0.850000,AH0,lettuce,1.0,1,0,3,-1,mfa_textgrid_phone
0.850000,1.020000,S,lettuce,1.0,1,0,4,-1,mfa_textgrid_phone
1.080000,1.130000,T,tomato,1.0,2,0,0,-1,mfa_textgrid_phone
1.130000,1.170000,AH0,tomato,1.0,2,0,1,-1,mfa_textgrid_phone
1.170000,1.280000,M,tomato,1.0,2,0,2,-1,mfa_textgrid_phone
1.280000,1.380000,EY1,tomato,1.0,2,0,3,-1,mfa_textgrid_phone
1.380000,1.420000,T,tomato,1.0,2,0,4,-1,mfa_textgrid_phone
1.420000,1.590000,OW2,tomato,1.0,2,0,5,-1,mfa_textgrid_phone
1.590000,1.700000,AE1,and,1.0,3,0,0,-1,mfa_textgrid_phone
1.700000,1.740000,N,and,1.0,3,0,1,-1,mfa_textgrid_phone
1.740000,1.820000,D,and,1.0,3,0,2,-1,mfa_textgrid_phone
1.820000,1.850000,M,mayo,1.0,4,0,0,-1,mfa_textgrid_phone
1.850000,2.060000,EY1,mayo,1.0,4,0,1,-1,mfa_textgrid_phone
2.060000,2.280000,OW0,mayo,1.0,4,0,2,-1,mfa_textgrid_phone
2.570000,2.710000,Y,yum,1.0,5,1,0,-1,mfa_textgrid_phone
2.710000,2.880000,AH1,yum,1.0,5,1,1,-1,mfa_textgrid_phone
2.880000,3.030000,M,yum,1.0,5,1,2,-1,mfa_textgrid_phone
