word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,i,1,hear,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,hear,2,you,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,you,3,maybe,.,.,region_break,1,hard_punctuation_with_lull,0.210000,0.210000,0.210000,0.210000,0,1
3,maybe,4,one,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
4,one,5,day,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
5,day,6,i'll,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
6,i'll,7,give,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
7,give,8,it,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
8,it,9,a,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
9,a,10,try,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
