word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,rain,1,doesn't,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,doesn't,2,come,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,come,3,in,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,in,4,colors,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,colors,5,just,",",",",soft_pause,0,none,0.030000,0.030000,0.030000,0.030000,0,0
5,just,6,water,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
6,water,7,but,.,.,region_break,1,hard_punctuation_with_lull,0.410000,0.410000,0.410000,0.410000,0,1
7,but,8,i,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
8,i,9,can,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
9,can,10,give,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
10,give,11,you,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
11,you,12,a,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
12,a,13,sandwich,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
13,sandwich,14,any,,,none,0,none,0.100000,0.100000,0.100000,0.100000,1,1
14,any,15,color,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
15,color,16,you,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
16,you,17,like,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
17,like,18,brown,,,none,0,none,0.210000,0.210000,0.210000,0.210000,1,1
18,brown,19,maybe,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
