word_index,word,start,end,speech_region_index,sentence_index
0,rain,0.130000,0.530000,0,-1
1,doesn't,0.530000,0.810000,0,-1
2,come,0.810000,1.060000,0,-1
3,in,1.060000,1.150000,0,-1
4,colors,1.150000,1.710000,0,-1
5,just,1.740000,2.070000,0,-1
6,water,2.070000,2.530000,0,-1
7,but,2.940000,3.070000,1,-1
8,i,3.070000,3.190000,1,-1
9,can,3.190000,3.360000,1,-1
10,give,3.360000,3.550000,1,-1
11,you,3.550000,3.700000,1,-1
12,a,3.700000,3.770000,1,-1
13,sandwich,3.770000,4.410000,1,-1
14,any,4.510000,4.770000,1,-1
15,color,4.770000,5.080000,1,-1
16,you,5.080000,5.270000,1,-1
17,like,5.270000,5.740000,1,-1
18,brown,5.950000,6.330000,1,-1
19,maybe,6.330000,6.740000,1,-1
