start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.000000,0.030000,HH,hello,1.0,0,0,0,-1,mfa_textgrid_phone
0.030000,0.090000,AH0,hello,1.0,0,0,1,-1,mfa_textgrid_phone
0.090000,0.150000,L,hello,1.0,0,0,2,-1,mfa_textgrid_phone
0.150000,0.320000,OW1,hello,1.0,0,0,3,-1,mfa_textgrid_phone
0.320000,0.380000,DH,there,1.0,1,0,0,-1,mfa_textgrid_phone
0.380000,0.500000,EH1,there,1.0,1,0,1,-1,mfa_textgrid_phone
0.500000,0.750000,R,there,1.0,1,0,2,-1,mfa_textgrid_phone
0.880000,0.910000,HH,what,1.0,2,1,0,-1,mfa_textgrid_phone
0.910000,1.030000,W,what,1.0,2,1,1,-1,mfa_textgrid_phone
1.030000,1.100000,AH1,what,1.0,2,1,2,-1,mfa_textgrid_phone
1.100000,1.160000,T,what,1.0,2,1,3,-1,mfa_textgrid_phone
1.160000,1.210000,K,can,1.0,3,1,0,-1,mfa_textgrid_phone
1.210000,1.260000,AE1,can,1.0,3,1,1,-1,mfa_textgrid_phone
1.260000,1.300000,N,can,1.0,3,1,2,-1,mfa_textgrid_phone
1.300000,1.410000,AY1,i,1.0,4,1,0,-1,mfa_textgrid_phone
1.410000,1.470000,G,get,1.0,5,1,0,-1,mfa_textgrid_phone
1.470000,1.590000,EH1,get,1.0,5,1,1,-1,mfa_textgrid_phone
1.590000,1.640000,T,get,1.0,5,1,2,-1,mfa_textgrid_phone
1.640000,1.700000,F,for,1.0,6,1,0,-1,mfa_textgrid_phone
1.700000,1.760000,ER0,for,1.0,6,1,1,-1,mfa_textgrid_phone
1.760000,1.870000,Y,you,1.0,7,1,0,-1,mfa_textgrid_phone
1.870000,1.920000,UW1,you,1.0,7,1,1,-1,mfa_textgrid_phone
1.920000,1.950000,T,today,1.0,8,1,0,-1,mfa_textgrid_phone
1.950000,2.020000,AH0,today,1.0,8,1,1,-1,mfa_textgrid_phone
2.020000,2.060000,D,today,1.0,8,1,2,-1,mfa_textgrid_phone
2.060000,2.510000,EY1,today,1.0,8,1,3,-1,mfa_textgrid_phone
