start,end,phone,word,confidence,word_index,speech_region_index,phone_index,phrase_index,sentence_index,alignment_reason
0.000000,0.170000,SH,sure,1.0,0,0,0,0,-1,mfa_textgrid_phone
0.170000,0.290000,UH1,sure,1.0,0,0,1,0,-1,mfa_textgrid_phone
0.290000,0.360000,R,sure,1.0,0,0,2,0,-1,mfa_textgrid_phone
0.360000,0.480000,TH,thing,1.0,1,0,0,0,-1,mfa_textgrid_phone
0.480000,0.630000,IH1,thing,1.0,1,0,1,0,-1,mfa_textgrid_phone
0.630000,0.780000,NG,thing,1.0,1,0,2,0,-1,mfa_textgrid_phone
0.950000,1.140000,SH,she's,1.0,2,1,0,1,-1,mfa_textgrid_phone
1.140000,1.240000,IY1,she's,1.0,2,1,1,1,-1,mfa_textgrid_phone
1.240000,1.300000,Z,she's,1.0,2,1,2,1,-1,mfa_textgrid_phone
1.300000,1.350000,B,behind,1.0,3,1,0,1,-1,mfa_textgrid_phone
1.350000,1.400000,IH0,behind,1.0,3,1,1,1,-1,mfa_textgrid_phone
1.400000,1.490000,HH,behind,1.0,3,1,2,1,-1,mfa_textgrid_phone
1.490000,1.580000,AY1,behind,1.0,3,1,3,1,-1,mfa_textgrid_phone
1.580000,1.620000,N,behind,1.0,3,1,4,1,-1,mfa_textgrid_phone
1.620000,1.650000,D,behind,1.0,3,1,5,1,-1,mfa_textgrid_phone
1.650000,1.660000,DH,the,1.0,4,1,0,1,-1,mfa_textgrid_phone
1.660000,1.690000,AH0,the,1.0,4,1,1,1,-1,mfa_textgrid_phone
1.690000,1.820000,K,counter,1.0,5,1,0,1,-1,mfa_textgrid_phone
1.820000,1.940000,AW1,counter,1.0,5,1,1,1,-1,mfa_textgrid_phone
1.940000,1.970000,N,counter,1.0,5,1,2,1,-1,mfa_textgrid_phone
1.970000,2.030000,T,counter,1.0,5,1,3,1,-1,mfa_textgrid_phone
2.030000,2.100000,ER0,counter,1.0,5,1,4,1,-1,mfa_textgrid_phone
2.100000,2.190000,M,most,1.0,6,1,0,1,-1,mfa_textgrid_phone
2.190000,2.280000,OW1,most,1.0,6,1,1,1,-1,mfa_textgrid_phone
2.280000,2.380000,S,most,1.0,6,1,2,1,-1,mfa_textgrid_phone
2.380000,2.410000,T,most,1.0,6,1,3,1,-1,mfa_textgrid_phone
2.410000,2.460000,T,times,1.0,7,1,0,1,-1,mfa_textgrid_phone
2.460000,2.650000,AY1,times,1.0,7,1,1,1,-1,mfa_textgrid_phone
2.650000,2.690000,M,times,1.0,7,1,2,1,-1,mfa_textgrid_phone
2.690000,2.870000,Z,times,1.0,7,1,3,1,-1,mfa_textgrid_phone
