word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,i,1,like,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,like,2,a,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,a,3,good,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,good,4,board,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,board,5,game,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
5,game,6,night,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
6,night,7,or,,,none,0,none,0.070000,0.070000,0.070000,0.070000,0,0
7,or,8,a,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
8,a,9,hike,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
9,hike,10,in,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
10,in,11,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
11,the,12,park,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
12,park,13,what,.,.,region_break,1,hard_punctuation_with_lull,0.950000,0.950000,0.950000,0.950000,0,1
13,what,14,about,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
14,about,15,you,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
