start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.130000,0.240000,JH,JH,just,1.0,0,0,-1,JH,0,mfa_textgrid_phone
0.240000,0.350000,AH1,AH1,just,1.0,0,0,-1,AH1,1,mfa_textgrid_phone
0.350000,0.400000,S,S,just,1.0,0,0,-1,S,2,mfa_textgrid_phone
0.400000,0.430000,T,T,just,1.0,0,0,-1,T,3,mfa_textgrid_phone
0.430000,0.510000,S,S,some,1.0,1,0,-1,S,0,mfa_textgrid_phone
0.510000,0.550000,AH1,AH1,some,1.0,1,0,-1,AH1,1,mfa_textgrid_phone
0.550000,0.620000,M,M,some,1.0,1,0,-1,M,2,mfa_textgrid_phone
0.620000,0.740000,S,S,sandwiches,1.0,2,0,-1,S,0,mfa_textgrid_phone
0.740000,0.900000,AE1,AE1,sandwiches,1.0,2,0,-1,AE1,1,mfa_textgrid_phone
0.900000,0.930000,M,M,sandwiches,1.0,2,0,-1,M,2,mfa_textgrid_phone
0.930000,0.970000,W,W,sandwiches,1.0,2,0,-1,W,3,mfa_textgrid_phone
0.970000,1.010000,IH0,IH0,sandwiches,1.0,2,0,-1,IH0,4,mfa_textgrid_phone
1.010000,1.090000,CH,CH,sandwiches,1.0,2,0,-1,CH,5,mfa_textgrid_phone
1.090000,1.160000,IH0,IH0,sandwiches,1.0,2,0,-1,IH0,6,mfa_textgrid_phone
1.160000,1.220000,Z,Z,sandwiches,1.0,2,0,-1,Z,7,mfa_textgrid_phone
1.220000,1.270000,AH0,AH0,and,1.0,3,0,-1,AH0,0,mfa_textgrid_phone
1.270000,1.320000,N,N,and,1.0,3,0,-1,N,1,mfa_textgrid_phone
1.320000,1.360000,D,D,and,1.0,3,0,-1,D,2,mfa_textgrid_phone
1.360000,1.470000,CH,CH,chips,1.0,4,0,-1,CH,0,mfa_textgrid_phone
1.470000,1.580000,IH1,IH1,chips,1.0,4,0,-1,IH1,1,mfa_textgrid_phone
1.580000,1.660000,P,P,chips,1.0,4,0,-1,P,2,mfa_textgrid_phone
1.660000,1.800000,S,S,chips,1.0,4,0,-1,S,3,mfa_textgrid_phone
2.170000,2.300000,W,W,whatcha,1.0,5,1,-1,W,0,mfa_textgrid_phone
2.300000,2.410000,AE1,AE1,whatcha,1.0,5,1,-1,AE1,1,mfa_textgrid_phone
2.410000,2.520000,CH,CH,whatcha,1.0,5,1,-1,CH,2,mfa_textgrid_phone
2.520000,2.580000,AH0,AH0,whatcha,1.0,5,1,-1,AH0,3,mfa_textgrid_phone
2.580000,2.710000,IH0,IH0,in,1.0,6,1,-1,IH0,0,mfa_textgrid_phone
2.710000,2.760000,N,N,in,1.0,6,1,-1,N,1,mfa_textgrid_phone
2.760000,2.790000,DH,DH,the,1.0,7,1,-1,DH,0,mfa_textgrid_phone
2.790000,2.830000,AH0,AH0,the,1.0,7,1,-1,AH0,1,mfa_textgrid_phone
2.830000,2.930000,M,M,mood,1.0,8,1,-1,M,0,mfa_textgrid_phone
2.930000,3.070000,UW1,UW1,mood,1.0,8,1,-1,UW1,1,mfa_textgrid_phone
3.070000,3.140000,D,D,mood,1.0,8,1,-1,D,2,mfa_textgrid_phone
3.140000,3.220000,F,F,for,1.0,9,1,-1,F,0,mfa_textgrid_phone
3.220000,3.340000,AO1,AO1,for,1.0,9,1,-1,AO1,1,mfa_textgrid_phone
3.340000,3.500000,R,R,for,1.0,9,1,-1,R,2,mfa_textgrid_phone
