start,end,phone,word,confidence,word_index,speech_region_index,phone_index,phrase_index,sentence_index,alignment_reason
0.190000,0.300000,AY1,i,1.0,0,0,0,0,-1,mfa_textgrid_phone
0.300000,0.450000,K,keep,1.0,1,0,0,0,-1,mfa_textgrid_phone
0.450000,0.510000,IY1,keep,1.0,1,0,1,0,-1,mfa_textgrid_phone
0.510000,0.580000,P,keep,1.0,1,0,2,0,-1,mfa_textgrid_phone
0.580000,0.610000,IH0,it,1.0,2,0,0,0,-1,mfa_textgrid_phone
0.610000,0.670000,T,it,1.0,2,0,1,0,-1,mfa_textgrid_phone
0.670000,0.810000,S,simple,1.0,3,0,0,0,-1,mfa_textgrid_phone
0.810000,0.870000,IH1,simple,1.0,3,0,1,0,-1,mfa_textgrid_phone
0.870000,0.920000,M,simple,1.0,3,0,2,0,-1,mfa_textgrid_phone
0.920000,0.980000,P,simple,1.0,3,0,3,0,-1,mfa_textgrid_phone
0.980000,1.010000,AH0,simple,1.0,3,0,4,0,-1,mfa_textgrid_phone
1.010000,1.230000,L,simple,1.0,3,0,5,0,-1,mfa_textgrid_phone
1.950000,2.150000,Y,you,1.0,4,1,0,1,-1,mfa_textgrid_phone
2.150000,2.410000,UW1,you,1.0,4,1,1,1,-1,mfa_textgrid_phone
