word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,red,1,orange,",",",",region_break,1,comma_with_lull,0.260000,0.260000,0.260000,0.260000,0,1
1,orange,2,yellow,",",",",region_break,1,comma_with_lull,0.370000,0.370000,0.370000,0.370000,1,2
2,yellow,3,green,",",",",region_break,1,comma_with_lull,0.470000,0.470000,0.460000,0.470000,2,3
3,green,4,blue,",",",",region_break,1,comma_with_lull,0.460000,0.460000,0.460000,0.460000,3,4
4,blue,5,indigo,",",",",region_break,1,comma_with_lull,0.350000,0.350000,0.350000,0.350000,4,5
5,indigo,6,violet,",",",",region_break,1,comma_with_lull,0.200000,0.200000,0.200000,0.200000,5,6
6,violet,7,though,.,.,region_break,1,hard_punctuation_with_lull,0.470000,0.470000,0.470000,0.470000,6,7
7,though,8,we,,,none,0,none,0.000000,0.000000,0.000000,0.000000,7,7
8,we,9,stick,,,none,0,none,0.000000,0.000000,0.000000,0.000000,7,7
9,stick,10,to,,,none,0,none,0.000000,0.000000,0.000000,0.000000,7,7
10,to,11,ham,,,none,0,none,0.000000,0.000000,0.000000,0.000000,7,7
11,ham,12,lettuce,",",",",region_break,1,comma_with_lull,0.270000,0.270000,0.270000,0.270000,7,8
12,lettuce,13,and,",",",",soft_pause,0,none,0.090000,0.090000,0.090000,0.090000,8,8
13,and,14,tomato,,,none,0,none,0.000000,0.000000,0.000000,0.000000,8,8
14,tomato,15,here,,,none,0,none,0.000000,0.000000,0.000000,0.000000,8,8
15,here,16,enjoy,.,.,region_break,1,hard_punctuation_with_lull,0.630000,0.630000,0.630000,0.630000,8,9
