word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,red,0.320000,0.810000,0,-1,-1
1,orange,1.070000,1.690000,1,-1,-1
2,yellow,2.060000,2.680000,2,-1,-1
3,green,3.150000,3.710000,3,-1,-1
4,blue,4.170000,4.630000,4,-1,-1
5,indigo,4.980000,5.580000,5,-1,-1
6,violet,5.780000,6.230000,6,-1,-1
7,though,6.700000,6.830000,7,-1,-1
8,we,6.830000,6.960000,7,-1,-1
9,stick,6.960000,7.220000,7,-1,-1
10,to,7.220000,7.310000,7,-1,-1
11,ham,7.310000,7.760000,7,-1,-1
12,lettuce,8.030000,8.540000,8,-1,-1
13,and,8.630000,8.740000,8,-1,-1
14,tomato,8.740000,9.090000,8,-1,-1
15,here,9.090000,9.410000,8,-1,-1
16,enjoy,10.040000,10.670000,9,-1,-1
