start,end,pose,phone,word,confidence,word_index,speech_region_index,phrase_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.210000,0.300000,T,T,turkey,1.0,0,0,0,-1,T,0,mfa_textgrid_phone
0.300000,0.420000,ER1,ER1,turkey,1.0,0,0,0,-1,ER1,1,mfa_textgrid_phone
0.420000,0.510000,K,K,turkey,1.0,0,0,0,-1,K,2,mfa_textgrid_phone
0.510000,0.750000,IY0,IY0,turkey,1.0,0,0,0,-1,IY0,3,mfa_textgrid_phone
0.900000,1.030000,L,L,lettuce,1.0,1,1,1,-1,L,0,mfa_textgrid_phone
1.030000,1.100000,EH1,EH1,lettuce,1.0,1,1,1,-1,EH1,1,mfa_textgrid_phone
1.100000,1.140000,T,T,lettuce,1.0,1,1,1,-1,T,2,mfa_textgrid_phone
1.140000,1.240000,AH0,AH0,lettuce,1.0,1,1,1,-1,AH0,3,mfa_textgrid_phone
1.240000,1.450000,S,S,lettuce,1.0,1,1,1,-1,S,4,mfa_textgrid_phone
1.620000,1.700000,T,T,tomato,1.0,2,2,2,-1,T,0,mfa_textgrid_phone
1.700000,1.730000,AH0,AH0,tomato,1.0,2,2,2,-1,AH0,1,mfa_textgrid_phone
1.730000,1.820000,M,M,tomato,1.0,2,2,2,-1,M,2,mfa_textgrid_phone
1.820000,1.940000,EY1,EY1,tomato,1.0,2,2,2,-1,EY1,3,mfa_textgrid_phone
1.940000,1.980000,T,T,tomato,1.0,2,2,2,-1,T,4,mfa_textgrid_phone
1.980000,2.180000,OW2,OW2,tomato,1.0,2,2,2,-1,OW2,5,mfa_textgrid_phone
2.210000,2.270000,AE1,AE1,and,1.0,3,2,2,-1,AE1,0,mfa_textgrid_phone
2.270000,2.310000,N,N,and,1.0,3,2,2,-1,N,1,mfa_textgrid_phone
2.310000,2.370000,D,D,and,1.0,3,2,2,-1,D,2,mfa_textgrid_phone
2.370000,2.400000,M,M,mayo,1.0,4,2,2,-1,M,0,mfa_textgrid_phone
2.400000,2.580000,EY1,EY1,mayo,1.0,4,2,2,-1,EY1,1,mfa_textgrid_phone
2.580000,2.810000,OW0,OW0,mayo,1.0,4,2,2,-1,OW0,2,mfa_textgrid_phone
3.010000,3.130000,Y,Y,yum,1.0,5,3,3,-1,Y,0,mfa_textgrid_phone
3.130000,3.330000,AH1,AH1,yum,1.0,5,3,3,-1,AH1,1,mfa_textgrid_phone
3.330000,3.530000,M,M,yum,1.0,5,3,3,-1,M,2,mfa_textgrid_phone
