start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.110000,0.320000,R,red,1.0,0,0,0,-1,mfa_textgrid_phone
0.320000,0.530000,EH1,red,1.0,0,0,1,-1,mfa_textgrid_phone
0.530000,0.670000,D,red,1.0,0,0,2,-1,mfa_textgrid_phone
0.910000,1.080000,AO1,orange,1.0,1,1,0,-1,mfa_textgrid_phone
1.080000,1.180000,R,orange,1.0,1,1,1,-1,mfa_textgrid_phone
1.180000,1.250000,AH0,orange,1.0,1,1,2,-1,mfa_textgrid_phone
1.250000,1.320000,N,orange,1.0,1,1,3,-1,mfa_textgrid_phone
1.320000,1.500000,JH,orange,1.0,1,1,4,-1,mfa_textgrid_phone
1.670000,1.850000,Y,yellow,1.0,2,2,0,-1,mfa_textgrid_phone
1.850000,1.930000,EH1,yellow,1.0,2,2,1,-1,mfa_textgrid_phone
1.930000,2.020000,L,yellow,1.0,2,2,2,-1,mfa_textgrid_phone
2.020000,2.230000,OW0,yellow,1.0,2,2,3,-1,mfa_textgrid_phone
2.520000,2.570000,G,green,1.0,3,3,0,-1,mfa_textgrid_phone
2.570000,2.680000,R,green,1.0,3,3,1,-1,mfa_textgrid_phone
2.680000,2.870000,IY1,green,1.0,3,3,2,-1,mfa_textgrid_phone
2.870000,3.010000,N,green,1.0,3,3,3,-1,mfa_textgrid_phone
3.100000,3.180000,B,blue,1.0,4,3,0,-1,mfa_textgrid_phone
3.180000,3.260000,L,blue,1.0,4,3,1,-1,mfa_textgrid_phone
3.260000,3.520000,UW1,blue,1.0,4,3,2,-1,mfa_textgrid_phone
3.600000,3.730000,IH1,indigo,1.0,5,3,0,-1,mfa_textgrid_phone
3.730000,3.770000,N,indigo,1.0,5,3,1,-1,mfa_textgrid_phone
3.770000,3.810000,D,indigo,1.0,5,3,2,-1,mfa_textgrid_phone
3.810000,3.860000,AH0,indigo,1.0,5,3,3,-1,mfa_textgrid_phone
3.860000,3.950000,G,indigo,1.0,5,3,4,-1,mfa_textgrid_phone
3.950000,4.200000,OW2,indigo,1.0,5,3,5,-1,mfa_textgrid_phone
4.310000,4.430000,V,violet,1.0,6,3,0,-1,mfa_textgrid_phone
4.430000,4.610000,AY1,violet,1.0,6,3,1,-1,mfa_textgrid_phone
4.610000,4.700000,L,violet,1.0,6,3,2,-1,mfa_textgrid_phone
4.700000,4.780000,IH0,violet,1.0,6,3,3,-1,mfa_textgrid_phone
4.780000,4.880000,T,violet,1.0,6,3,4,-1,mfa_textgrid_phone
5.250000,5.440000,W,want,1.0,7,4,0,-1,mfa_textgrid_phone
5.440000,5.590000,AA1,want,1.0,7,4,1,-1,mfa_textgrid_phone
5.590000,5.630000,N,want,1.0,7,4,2,-1,mfa_textgrid_phone
5.630000,5.660000,T,want,1.0,7,4,3,-1,mfa_textgrid_phone
5.660000,5.730000,M,me,1.0,8,4,0,-1,mfa_textgrid_phone
5.730000,5.810000,IY1,me,1.0,8,4,1,-1,mfa_textgrid_phone
5.810000,5.840000,T,to,1.0,9,4,0,-1,mfa_textgrid_phone
5.840000,5.900000,IH0,to,1.0,9,4,1,-1,mfa_textgrid_phone
5.900000,5.980000,M,make,1.0,10,4,0,-1,mfa_textgrid_phone
5.980000,6.130000,EY1,make,1.0,10,4,1,-1,mfa_textgrid_phone
6.130000,6.230000,K,make,1.0,10,4,2,-1,mfa_textgrid_phone
6.230000,6.290000,Y,you,1.0,11,4,0,-1,mfa_textgrid_phone
6.290000,6.400000,UW1,you,1.0,11,4,1,-1,mfa_textgrid_phone
6.400000,6.460000,AH0,a,1.0,12,4,0,-1,mfa_textgrid_phone
6.460000,6.660000,R,rainbow,1.0,13,4,0,-1,mfa_textgrid_phone
6.660000,6.790000,EY1,rainbow,1.0,13,4,1,-1,mfa_textgrid_phone
6.790000,6.850000,N,rainbow,1.0,13,4,2,-1,mfa_textgrid_phone
6.850000,6.900000,B,rainbow,1.0,13,4,3,-1,mfa_textgrid_phone
6.900000,7.000000,OW2,rainbow,1.0,13,4,4,-1,mfa_textgrid_phone
7.000000,7.150000,S,sandwich,1.0,14,4,0,-1,mfa_textgrid_phone
7.150000,7.300000,AE1,sandwich,1.0,14,4,1,-1,mfa_textgrid_phone
7.300000,7.350000,M,sandwich,1.0,14,4,2,-1,mfa_textgrid_phone
7.350000,7.410000,W,sandwich,1.0,14,4,3,-1,mfa_textgrid_phone
7.410000,7.480000,IH0,sandwich,1.0,14,4,4,-1,mfa_textgrid_phone
7.480000,7.720000,CH,sandwich,1.0,14,4,5,-1,mfa_textgrid_phone
