word_index,word,start,end,speech_region_index,sentence_index
0,red,0.110000,0.670000,0,-1
1,orange,0.910000,1.500000,1,-1
2,yellow,1.670000,2.230000,2,-1
3,green,2.520000,3.010000,3,-1
4,blue,3.100000,3.520000,3,-1
5,indigo,3.600000,4.200000,3,-1
6,violet,4.310000,4.880000,3,-1
7,want,5.250000,5.660000,4,-1
8,me,5.660000,5.810000,4,-1
9,to,5.810000,5.900000,4,-1
10,make,5.900000,6.230000,4,-1
11,you,6.230000,6.400000,4,-1
12,a,6.400000,6.460000,4,-1
13,rainbow,6.460000,7.000000,4,-1
14,sandwich,7.000000,7.720000,4,-1
