word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,four,0.130000,0.480000,0,-1,-1
1,birds,0.480000,1.160000,0,-1,-1
2,crow,1.690000,2.320000,1,-1,-1
3,raven,2.350000,3.000000,1,-1,-1
4,eagle,3.070000,3.450000,1,-1,-1
5,and,3.450000,3.600000,1,-1,-1
6,owl,3.640000,4.070000,1,-1,-1
7,maybe,4.070000,4.560000,1,-1,-1
8,or,4.990000,5.160000,2,-1,-1
9,are,5.160000,5.260000,2,-1,-1
10,you,5.260000,5.400000,2,-1,-1
11,thinking,5.400000,5.810000,2,-1,-1
12,of,5.810000,5.900000,2,-1,-1
13,something,5.900000,6.280000,2,-1,-1
14,else,6.280000,6.750000,2,-1,-1
