start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.600000,0.700000,HH,HH,hello,1.0,0,0,-1,HH,0,mfa_textgrid_phone
0.700000,0.780000,AH0,AH0,hello,1.0,0,0,-1,AH0,1,mfa_textgrid_phone
0.780000,0.860000,L,L,hello,1.0,0,0,-1,L,2,mfa_textgrid_phone
0.860000,1.050000,OW1,OW1,hello,1.0,0,0,-1,OW1,3,mfa_textgrid_phone
1.050000,1.130000,DH,DH,there,1.0,1,0,-1,DH,0,mfa_textgrid_phone
1.130000,1.300000,EH1,EH1,there,1.0,1,0,-1,EH1,1,mfa_textgrid_phone
1.300000,1.390000,R,R,there,1.0,1,0,-1,R,2,mfa_textgrid_phone
1.390000,1.500000,W,W,what,1.0,2,0,-1,W,0,mfa_textgrid_phone
1.500000,1.580000,AH1,AH1,what,1.0,2,0,-1,AH1,1,mfa_textgrid_phone
1.580000,1.650000,T,T,what,1.0,2,0,-1,T,2,mfa_textgrid_phone
1.650000,1.690000,K,K,can,1.0,3,0,-1,K,0,mfa_textgrid_phone
1.690000,1.760000,AH0,AH0,can,1.0,3,0,-1,AH0,1,mfa_textgrid_phone
1.760000,1.800000,N,N,can,1.0,3,0,-1,N,2,mfa_textgrid_phone
1.800000,1.940000,AY1,AY1,i,1.0,4,0,-1,AY1,0,mfa_textgrid_phone
1.940000,2.040000,G,G,get,1.0,5,0,-1,G,0,mfa_textgrid_phone
2.040000,2.130000,EH1,EH1,get,1.0,5,0,-1,EH1,1,mfa_textgrid_phone
2.130000,2.180000,T,T,get,1.0,5,0,-1,T,2,mfa_textgrid_phone
2.180000,2.260000,F,F,for,1.0,6,0,-1,F,0,mfa_textgrid_phone
2.260000,2.300000,ER0,ER0,for,1.0,6,0,-1,ER0,1,mfa_textgrid_phone
2.300000,2.450000,Y,Y,you,1.0,7,0,-1,Y,0,mfa_textgrid_phone
2.450000,2.560000,UW1,UW1,you,1.0,7,0,-1,UW1,1,mfa_textgrid_phone
2.560000,2.620000,T,T,today,1.0,8,0,-1,T,0,mfa_textgrid_phone
2.620000,2.680000,AH0,AH0,today,1.0,8,0,-1,AH0,1,mfa_textgrid_phone
2.680000,2.740000,D,D,today,1.0,8,0,-1,D,2,mfa_textgrid_phone
2.740000,3.130000,EY1,EY1,today,1.0,8,0,-1,EY1,3,mfa_textgrid_phone
