start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.000000,0.030000,HH,how,1.0,0,0,0,-1,mfa_textgrid_phone
0.030000,0.160000,AW1,how,1.0,0,0,1,-1,mfa_textgrid_phone
0.160000,0.200000,AH0,about,1.0,1,0,0,-1,mfa_textgrid_phone
0.200000,0.260000,B,about,1.0,1,0,1,-1,mfa_textgrid_phone
0.260000,0.360000,AW1,about,1.0,1,0,2,-1,mfa_textgrid_phone
0.360000,0.410000,T,about,1.0,1,0,3,-1,mfa_textgrid_phone
0.410000,0.440000,DH,the,1.0,2,0,0,-1,mfa_textgrid_phone
0.440000,0.480000,AH0,the,1.0,2,0,1,-1,mfa_textgrid_phone
0.480000,0.590000,T,turkey,1.0,3,0,0,-1,mfa_textgrid_phone
0.590000,0.710000,ER1,turkey,1.0,3,0,1,-1,mfa_textgrid_phone
0.710000,0.790000,K,turkey,1.0,3,0,2,-1,mfa_textgrid_phone
0.790000,0.970000,IY0,turkey,1.0,3,0,3,-1,mfa_textgrid_phone
1.480000,1.540000,IH1,it's,1.0,4,1,0,-1,mfa_textgrid_phone
1.540000,1.580000,T,it's,1.0,4,1,1,-1,mfa_textgrid_phone
1.580000,1.630000,S,it's,1.0,4,1,2,-1,mfa_textgrid_phone
1.630000,1.730000,AA1,always,1.0,5,1,0,-1,mfa_textgrid_phone
1.730000,1.780000,L,always,1.0,5,1,1,-1,mfa_textgrid_phone
1.780000,1.830000,W,always,1.0,5,1,2,-1,mfa_textgrid_phone
1.830000,1.870000,IY0,always,1.0,5,1,3,-1,mfa_textgrid_phone
1.870000,1.930000,Z,always,1.0,5,1,4,-1,mfa_textgrid_phone
1.930000,1.980000,AH0,a,1.0,6,1,0,-1,mfa_textgrid_phone
1.980000,2.080000,K,crowd,1.0,7,1,0,-1,mfa_textgrid_phone
2.080000,2.130000,R,crowd,1.0,7,1,1,-1,mfa_textgrid_phone
2.130000,2.260000,AW1,crowd,1.0,7,1,2,-1,mfa_textgrid_phone
2.260000,2.330000,D,crowd,1.0,7,1,3,-1,mfa_textgrid_phone
2.330000,2.390000,P,crowd,1.0,7,1,4,-1,mfa_textgrid_phone
2.390000,2.450000,L,crowd,1.0,7,1,5,-1,mfa_textgrid_phone
2.450000,2.510000,IY1,crowd,1.0,7,1,6,-1,mfa_textgrid_phone
2.510000,2.600000,Z,crowd,1.0,7,1,7,-1,mfa_textgrid_phone
2.600000,2.770000,ER0,crowd,1.0,7,1,8,-1,mfa_textgrid_phone
