start,end,pose,phone,word,confidence,word_index,speech_region_index,phrase_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.000000,0.080000,R,R,red,1.0,0,0,0,-1,R,0,mfa_textgrid_phone
0.080000,0.240000,EH1,EH1,red,1.0,0,0,0,-1,EH1,1,mfa_textgrid_phone
0.240000,0.400000,D,D,red,1.0,0,0,0,-1,D,2,mfa_textgrid_phone
0.680000,0.830000,AO1,AO1,orange,1.0,1,1,1,-1,AO1,0,mfa_textgrid_phone
0.830000,0.930000,R,R,orange,1.0,1,1,1,-1,R,1,mfa_textgrid_phone
0.930000,1.030000,IH0,IH0,orange,1.0,1,1,1,-1,IH0,2,mfa_textgrid_phone
1.030000,1.140000,N,N,orange,1.0,1,1,1,-1,N,3,mfa_textgrid_phone
1.140000,1.360000,JH,JH,orange,1.0,1,1,1,-1,JH,4,mfa_textgrid_phone
1.420000,1.570000,Y,Y,yellow,1.0,2,1,1,-1,Y,0,mfa_textgrid_phone
1.570000,1.650000,EH1,EH1,yellow,1.0,2,1,1,-1,EH1,1,mfa_textgrid_phone
1.650000,1.750000,L,L,yellow,1.0,2,1,1,-1,L,2,mfa_textgrid_phone
1.750000,2.020000,OW0,OW0,yellow,1.0,2,1,1,-1,OW0,3,mfa_textgrid_phone
2.150000,2.220000,G,G,green,1.0,3,2,2,-1,G,0,mfa_textgrid_phone
2.220000,2.340000,R,R,green,1.0,3,2,2,-1,R,1,mfa_textgrid_phone
2.340000,2.570000,IY1,IY1,green,1.0,3,2,2,-1,IY1,2,mfa_textgrid_phone
2.570000,2.740000,N,N,green,1.0,3,2,2,-1,N,3,mfa_textgrid_phone
2.800000,2.910000,B,B,blue,1.0,4,2,2,-1,B,0,mfa_textgrid_phone
2.910000,3.010000,L,L,blue,1.0,4,2,2,-1,L,1,mfa_textgrid_phone
3.010000,3.300000,UW1,UW1,blue,1.0,4,2,2,-1,UW1,2,mfa_textgrid_phone
3.420000,3.510000,IH1,IH1,indigo,1.0,5,2,2,-1,IH1,0,mfa_textgrid_phone
3.510000,3.580000,N,N,indigo,1.0,5,2,2,-1,N,1,mfa_textgrid_phone
3.580000,3.630000,D,D,indigo,1.0,5,2,2,-1,D,2,mfa_textgrid_phone
3.630000,3.680000,IH0,IH0,indigo,1.0,5,2,2,-1,IH0,3,mfa_textgrid_phone
3.680000,3.750000,G,G,indigo,1.0,5,2,2,-1,G,4,mfa_textgrid_phone
3.750000,3.950000,OW2,OW2,indigo,1.0,5,2,2,-1,OW2,5,mfa_textgrid_phone
3.950000,4.090000,V,V,violet,1.0,6,2,2,-1,V,0,mfa_textgrid_phone
4.090000,4.220000,AY1,AY1,violet,1.0,6,2,2,-1,AY1,1,mfa_textgrid_phone
4.220000,4.300000,AH0,AH0,violet,1.0,6,2,2,-1,AH0,2,mfa_textgrid_phone
4.300000,4.350000,L,L,violet,1.0,6,2,2,-1,L,3,mfa_textgrid_phone
4.350000,4.430000,IH0,IH0,violet,1.0,6,2,2,-1,IH0,4,mfa_textgrid_phone
4.430000,4.560000,T,T,violet,1.0,6,2,2,-1,T,5,mfa_textgrid_phone
5.010000,5.130000,K,K,coloring,1.0,7,3,3,-1,K,0,mfa_textgrid_phone
5.130000,5.170000,AH1,AH1,coloring,1.0,7,3,3,-1,AH1,1,mfa_textgrid_phone
5.170000,5.270000,L,L,coloring,1.0,7,3,3,-1,L,2,mfa_textgrid_phone
5.270000,5.360000,ER0,ER0,coloring,1.0,7,3,3,-1,ER0,3,mfa_textgrid_phone
5.360000,5.410000,IH0,IH0,coloring,1.0,7,3,3,-1,IH0,4,mfa_textgrid_phone
5.410000,5.480000,NG,NG,coloring,1.0,7,3,3,-1,NG,5,mfa_textgrid_phone
5.480000,5.520000,DH,DH,the,1.0,8,3,3,-1,DH,0,mfa_textgrid_phone
5.520000,5.560000,AH0,AH0,the,1.0,8,3,3,-1,AH0,1,mfa_textgrid_phone
5.560000,5.700000,W,W,world,1.0,9,3,3,-1,W,0,mfa_textgrid_phone
5.700000,5.840000,ER1,ER1,world,1.0,9,3,3,-1,ER1,1,mfa_textgrid_phone
5.840000,5.950000,L,L,world,1.0,9,3,3,-1,L,2,mfa_textgrid_phone
5.950000,6.050000,D,D,world,1.0,9,3,3,-1,D,3,mfa_textgrid_phone
