word_index,word,start,end,speech_region_index,sentence_index
0,once,0.000000,0.370000,0,-1
1,upon,0.370000,0.640000,0,-1
2,a,0.640000,0.700000,0,-1
3,time,0.700000,1.150000,0,-1
4,a,1.250000,1.330000,0,-1
5,lost,1.330000,1.830000,0,-1
6,puppy,1.830000,2.170000,0,-1
7,found,2.170000,2.560000,0,-1
8,a,2.560000,2.610000,0,-1
9,sandwich,2.610000,3.360000,0,-1
10,it,3.620000,3.760000,1,-1
11,was,3.760000,3.930000,1,-1
12,happy,3.930000,4.570000,1,-1
13,and,4.700000,4.890000,1,-1
14,full,4.890000,5.300000,1,-1
15,from,5.660000,5.920000,2,-1
16,then,5.920000,6.120000,2,-1
17,on,6.120000,6.440000,2,-1
18,the,6.540000,6.640000,2,-1
19,sandwich,6.640000,7.170000,2,-1
20,was,7.170000,7.330000,2,-1
21,known,7.330000,7.600000,2,-1
22,as,7.600000,7.740000,2,-1
23,the,7.740000,7.860000,2,-1
