start,end,phone,word,confidence,word_index,speech_region_index,phone_index,phrase_index,sentence_index,alignment_reason
0.000000,0.090000,TH,thanks,1.0,0,0,0,0,-1,mfa_textgrid_phone
0.090000,0.200000,AE1,thanks,1.0,0,0,1,0,-1,mfa_textgrid_phone
0.200000,0.270000,NG,thanks,1.0,0,0,2,0,-1,mfa_textgrid_phone
0.270000,0.310000,K,thanks,1.0,0,0,3,0,-1,mfa_textgrid_phone
0.310000,0.410000,S,thanks,1.0,0,0,4,0,-1,mfa_textgrid_phone
0.410000,0.490000,R,red,1.0,1,0,0,0,-1,mfa_textgrid_phone
0.490000,0.630000,EH1,red,1.0,1,0,1,0,-1,mfa_textgrid_phone
0.630000,0.730000,D,red,1.0,1,0,2,0,-1,mfa_textgrid_phone
1.020000,1.130000,M,means,1.0,2,1,0,1,-1,mfa_textgrid_phone
1.130000,1.250000,IY1,means,1.0,2,1,1,1,-1,mfa_textgrid_phone
1.250000,1.320000,N,means,1.0,2,1,2,1,-1,mfa_textgrid_phone
1.320000,1.380000,Z,means,1.0,2,1,3,1,-1,mfa_textgrid_phone
1.380000,1.450000,AH0,a,1.0,3,1,0,1,-1,mfa_textgrid_phone
1.450000,1.550000,L,lot,1.0,4,1,0,1,-1,mfa_textgrid_phone
1.550000,1.760000,AA1,lot,1.0,4,1,1,1,-1,mfa_textgrid_phone
1.760000,1.960000,T,lot,1.0,4,1,2,1,-1,mfa_textgrid_phone
