word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,red,1,huh,",",",",none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,huh,2,fits,?,?,region_break,1,hard_punctuation_with_lull,0.380000,0.380000,0.380000,0.380000,0,1
2,fits,3,you,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
3,you,4,here,.,.,region_break,1,hard_punctuation_with_lull,0.480000,0.480000,0.480000,0.480000,1,2
4,here,5,have,",",",",soft_pause,0,none,0.120000,0.120000,0.120000,0.120000,2,2
5,have,6,a,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
6,a,7,chip,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
7,chip,8,on,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
8,on,9,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
9,the,10,house,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
