start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.150000,0.270000,AY1,i,1.0,0,0,0,-1,mfa_textgrid_phone
0.270000,0.370000,L,like,1.0,1,0,0,-1,mfa_textgrid_phone
0.370000,0.460000,AY1,like,1.0,1,0,1,-1,mfa_textgrid_phone
0.460000,0.530000,K,like,1.0,1,0,2,-1,mfa_textgrid_phone
0.530000,0.580000,DH,the,1.0,2,0,0,-1,mfa_textgrid_phone
0.580000,0.640000,AH0,the,1.0,2,0,1,-1,mfa_textgrid_phone
0.640000,0.760000,V,veggie,1.0,3,0,0,-1,mfa_textgrid_phone
0.760000,0.870000,EH1,veggie,1.0,3,0,1,-1,mfa_textgrid_phone
0.870000,0.950000,JH,veggie,1.0,3,0,2,-1,mfa_textgrid_phone
0.950000,1.040000,IY0,veggie,1.0,3,0,3,-1,mfa_textgrid_phone
1.040000,1.160000,W,one,1.0,4,0,0,-1,mfa_textgrid_phone
1.160000,1.220000,AH1,one,1.0,4,0,1,-1,mfa_textgrid_phone
1.220000,1.300000,N,one,1.0,4,0,2,-1,mfa_textgrid_phone
1.300000,1.360000,M,myself,1.0,5,0,0,-1,mfa_textgrid_phone
1.360000,1.440000,AY2,myself,1.0,5,0,1,-1,mfa_textgrid_phone
1.440000,1.630000,S,myself,1.0,5,0,2,-1,mfa_textgrid_phone
1.630000,1.720000,EH1,myself,1.0,5,0,3,-1,mfa_textgrid_phone
1.720000,1.820000,L,myself,1.0,5,0,4,-1,mfa_textgrid_phone
1.820000,2.040000,F,myself,1.0,5,0,5,-1,mfa_textgrid_phone
2.310000,2.480000,L,light,1.0,6,1,0,-1,mfa_textgrid_phone
2.480000,2.650000,AY1,light,1.0,6,1,1,-1,mfa_textgrid_phone
2.650000,2.800000,T,light,1.0,6,1,2,-1,mfa_textgrid_phone
2.840000,2.930000,AE1,and,1.0,7,1,0,-1,mfa_textgrid_phone
2.930000,2.980000,N,and,1.0,7,1,1,-1,mfa_textgrid_phone
2.980000,3.040000,D,and,1.0,7,1,2,-1,mfa_textgrid_phone
3.040000,3.160000,F,fresh,1.0,8,1,0,-1,mfa_textgrid_phone
3.160000,3.230000,R,fresh,1.0,8,1,1,-1,mfa_textgrid_phone
3.230000,3.340000,EH1,fresh,1.0,8,1,2,-1,mfa_textgrid_phone
3.340000,3.650000,SH,fresh,1.0,8,1,3,-1,mfa_textgrid_phone
