start,end,phone,word,confidence,word_index,speech_region_index,phone_index,phrase_index,sentence_index,alignment_reason
0.000000,0.260000,spn,try,1.0,0,0,0,0,-1,mfa_textgrid_phone
0.260000,0.290000,DH,this,1.0,1,0,0,0,-1,mfa_textgrid_phone
0.290000,0.470000,IH0,this,1.0,1,0,1,0,-1,mfa_textgrid_phone
0.470000,0.690000,S,this,1.0,1,0,2,0,-1,mfa_textgrid_phone
0.860000,1.000000,R,roy,1.0,2,1,0,1,-1,mfa_textgrid_phone
1.000000,1.190000,OY1,roy,1.0,2,1,1,1,-1,mfa_textgrid_phone
1.190000,1.310000,JH,g,1.0,3,1,0,1,-1,mfa_textgrid_phone
1.310000,1.440000,IY1,g,1.0,3,1,1,1,-1,mfa_textgrid_phone
1.440000,1.540000,B,biv,1.0,4,1,0,1,-1,mfa_textgrid_phone
1.540000,1.730000,IH1,biv,1.0,4,1,1,1,-1,mfa_textgrid_phone
1.730000,1.890000,V,biv,1.0,4,1,2,1,-1,mfa_textgrid_phone
2.240000,2.340000,L,like,1.0,5,2,0,2,-1,mfa_textgrid_phone
2.340000,2.470000,AY1,like,1.0,5,2,1,2,-1,mfa_textgrid_phone
2.470000,2.540000,K,like,1.0,5,2,2,2,-1,mfa_textgrid_phone
2.540000,2.590000,DH,the,1.0,6,2,0,2,-1,mfa_textgrid_phone
2.590000,2.630000,AH0,the,1.0,6,2,1,2,-1,mfa_textgrid_phone
2.630000,2.710000,G,guy,1.0,7,2,0,2,-1,mfa_textgrid_phone
2.710000,2.900000,AY1,guy,1.0,7,2,1,2,-1,mfa_textgrid_phone
2.900000,2.980000,IH0,in,1.0,8,2,0,2,-1,mfa_textgrid_phone
2.980000,3.010000,N,in,1.0,8,2,1,2,-1,mfa_textgrid_phone
3.010000,3.070000,AH0,a,1.0,9,2,0,2,-1,mfa_textgrid_phone
3.070000,3.160000,B,boat,1.0,10,2,0,2,-1,mfa_textgrid_phone
3.160000,3.360000,OW1,boat,1.0,10,2,1,2,-1,mfa_textgrid_phone
3.360000,3.510000,T,boat,1.0,10,2,2,2,-1,mfa_textgrid_phone
