start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.000000,0.050000,T,T,try,1.0,0,0,-1,T,0,mfa_textgrid_phone
0.050000,0.100000,R,R,try,1.0,0,0,-1,R,1,mfa_textgrid_phone
0.100000,0.240000,AY1,AY1,try,1.0,0,0,-1,AY1,2,mfa_textgrid_phone
0.240000,0.300000,DH,DH,this,1.0,1,0,-1,DH,0,mfa_textgrid_phone
0.300000,0.470000,IH0,IH0,this,1.0,1,0,-1,IH0,1,mfa_textgrid_phone
0.470000,0.690000,S,S,this,1.0,1,0,-1,S,2,mfa_textgrid_phone
0.860000,1.000000,R,R,roy,1.0,2,1,-1,R,0,mfa_textgrid_phone
1.000000,1.190000,OY1,OY1,roy,1.0,2,1,-1,OY1,1,mfa_textgrid_phone
1.190000,1.310000,JH,JH,g,1.0,3,1,-1,JH,0,mfa_textgrid_phone
1.310000,1.440000,IY1,IY1,g,1.0,3,1,-1,IY1,1,mfa_textgrid_phone
1.440000,1.540000,B,B,biv,1.0,4,1,-1,B,0,mfa_textgrid_phone
1.540000,1.730000,IH1,IH1,biv,1.0,4,1,-1,IH1,1,mfa_textgrid_phone
1.730000,1.890000,V,V,biv,1.0,4,1,-1,V,2,mfa_textgrid_phone
2.240000,2.340000,L,L,like,1.0,5,2,-1,L,0,mfa_textgrid_phone
2.340000,2.470000,AY1,AY1,like,1.0,5,2,-1,AY1,1,mfa_textgrid_phone
2.470000,2.540000,K,K,like,1.0,5,2,-1,K,2,mfa_textgrid_phone
2.540000,2.590000,DH,DH,the,1.0,6,2,-1,DH,0,mfa_textgrid_phone
2.590000,2.630000,AH0,AH0,the,1.0,6,2,-1,AH0,1,mfa_textgrid_phone
2.630000,2.710000,G,G,guy,1.0,7,2,-1,G,0,mfa_textgrid_phone
2.710000,2.900000,AY1,AY1,guy,1.0,7,2,-1,AY1,1,mfa_textgrid_phone
2.900000,2.980000,IH0,IH0,in,1.0,8,2,-1,IH0,0,mfa_textgrid_phone
2.980000,3.010000,N,N,in,1.0,8,2,-1,N,1,mfa_textgrid_phone
3.010000,3.070000,AH0,AH0,a,1.0,9,2,-1,AH0,0,mfa_textgrid_phone
3.070000,3.160000,B,B,boat,1.0,10,2,-1,B,0,mfa_textgrid_phone
3.160000,3.360000,OW1,OW1,boat,1.0,10,2,-1,OW1,1,mfa_textgrid_phone
3.360000,3.510000,T,T,boat,1.0,10,2,-1,T,2,mfa_textgrid_phone
