start,end,pose,phone,word,confidence,word_index,speech_region_index,phrase_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.290000,0.450000,SH,SH,sure,1.0,0,0,0,-1,SH,0,mfa_textgrid_phone
0.450000,0.500000,UH1,UH1,sure,1.0,0,0,0,-1,UH1,1,mfa_textgrid_phone
0.500000,0.560000,R,R,sure,1.0,0,0,0,-1,R,2,mfa_textgrid_phone
0.560000,0.650000,TH,TH,thing,1.0,1,0,0,-1,TH,0,mfa_textgrid_phone
0.650000,0.760000,IH1,IH1,thing,1.0,1,0,0,-1,IH1,1,mfa_textgrid_phone
0.760000,0.860000,NG,NG,thing,1.0,1,0,0,-1,NG,2,mfa_textgrid_phone
1.220000,1.290000,JH,JH,just,1.0,2,1,1,-1,JH,0,mfa_textgrid_phone
1.290000,1.340000,AH1,AH1,just,1.0,2,1,1,-1,AH1,1,mfa_textgrid_phone
1.340000,1.390000,S,S,just,1.0,2,1,1,-1,S,2,mfa_textgrid_phone
1.390000,1.420000,T,T,just,1.0,2,1,1,-1,T,3,mfa_textgrid_phone
1.420000,1.450000,DH,DH,the,1.0,3,1,1,-1,DH,0,mfa_textgrid_phone
1.450000,1.490000,AH0,AH0,the,1.0,3,1,1,-1,AH0,1,mfa_textgrid_phone
1.490000,1.600000,CH,CH,chips,1.0,4,1,1,-1,CH,0,mfa_textgrid_phone
1.600000,1.680000,IH1,IH1,chips,1.0,4,1,1,-1,IH1,1,mfa_textgrid_phone
1.680000,1.730000,P,P,chips,1.0,4,1,1,-1,P,2,mfa_textgrid_phone
1.730000,1.790000,S,S,chips,1.0,4,1,1,-1,S,3,mfa_textgrid_phone
1.790000,1.840000,DH,DH,then,1.0,5,1,1,-1,DH,0,mfa_textgrid_phone
1.840000,1.950000,EH1,EH1,then,1.0,5,1,1,-1,EH1,1,mfa_textgrid_phone
1.950000,2.070000,N,N,then,1.0,5,1,1,-1,N,2,mfa_textgrid_phone
