start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.090000,0.160000,T,turkey,1.0,0,0,0,-1,mfa_textgrid_phone
0.160000,0.270000,ER1,turkey,1.0,0,0,1,-1,mfa_textgrid_phone
0.270000,0.350000,K,turkey,1.0,0,0,2,-1,mfa_textgrid_phone
0.350000,0.550000,IY0,turkey,1.0,0,0,3,-1,mfa_textgrid_phone
0.610000,0.760000,S,swiss,1.0,1,0,0,-1,mfa_textgrid_phone
0.760000,0.840000,W,swiss,1.0,1,0,1,-1,mfa_textgrid_phone
0.840000,0.930000,IH1,swiss,1.0,1,0,2,-1,mfa_textgrid_phone
0.930000,1.090000,S,swiss,1.0,1,0,3,-1,mfa_textgrid_phone
1.160000,1.230000,AE1,and,1.0,2,0,0,-1,mfa_textgrid_phone
1.230000,1.270000,N,and,1.0,2,0,1,-1,mfa_textgrid_phone
1.270000,1.320000,D,and,1.0,2,0,2,-1,mfa_textgrid_phone
1.320000,1.360000,M,mayo,1.0,3,0,0,-1,mfa_textgrid_phone
1.360000,1.520000,EY1,mayo,1.0,3,0,1,-1,mfa_textgrid_phone
1.520000,1.680000,OW0,mayo,1.0,3,0,2,-1,mfa_textgrid_phone
2.320000,2.400000,K,classic,1.0,4,1,0,-1,mfa_textgrid_phone
2.400000,2.450000,L,classic,1.0,4,1,1,-1,mfa_textgrid_phone
2.450000,2.510000,AE1,classic,1.0,4,1,2,-1,mfa_textgrid_phone
2.510000,2.610000,S,classic,1.0,4,1,3,-1,mfa_textgrid_phone
2.610000,2.650000,IH0,classic,1.0,4,1,4,-1,mfa_textgrid_phone
2.650000,2.680000,K,classic,1.0,4,1,5,-1,mfa_textgrid_phone
2.680000,2.750000,K,combo,1.0,5,1,0,-1,mfa_textgrid_phone
2.750000,2.880000,AA1,combo,1.0,5,1,1,-1,mfa_textgrid_phone
2.880000,2.920000,M,combo,1.0,5,1,2,-1,mfa_textgrid_phone
2.920000,2.960000,B,combo,1.0,5,1,3,-1,mfa_textgrid_phone
2.960000,3.150000,OW2,combo,1.0,5,1,4,-1,mfa_textgrid_phone
