word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,how,1,about,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,about,2,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,the,3,roast,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,roast,4,beef,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,beef,5,served,?,?,region_break,1,hard_punctuation_with_lull,0.350000,0.350000,0.350000,0.350000,0,1
5,served,6,with,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
6,with,7,au,,,none,0,none,0.050000,0.050000,0.000000,0.050000,1,1
7,au,8,jus,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
8,jus,9,and,,,none,0,none,0.060000,0.060000,0.000000,0.060000,1,1
9,and,10,provolone,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
10,provolone,11,new,.,.,region_break,1,hard_punctuation_with_lull,0.250000,0.250000,0.250000,0.250000,1,2
11,new,12,this,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
12,this,13,week,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
