word_index,word,start,end,speech_region_index,sentence_index
0,how,0.000000,0.240000,0,-1
1,about,0.240000,0.550000,0,-1
2,the,0.550000,0.650000,0,-1
3,roast,0.650000,1.070000,0,-1
4,beef,1.070000,1.510000,0,-1
5,served,1.860000,2.370000,1,-1
6,with,2.370000,2.530000,1,-1
7,au,2.580000,2.780000,1,-1
8,jus,2.780000,3.170000,1,-1
9,and,3.230000,3.440000,1,-1
10,provolone,3.440000,4.210000,1,-1
11,new,4.460000,4.790000,2,-1
12,this,4.790000,5.040000,2,-1
13,week,5.040000,5.440000,2,-1
