start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.050000,0.110000,HH,hello,1.0,0,0,0,-1,mfa_textgrid_phone
0.110000,0.160000,AH0,hello,1.0,0,0,1,-1,mfa_textgrid_phone
0.160000,0.220000,L,hello,1.0,0,0,2,-1,mfa_textgrid_phone
0.220000,0.340000,OW1,hello,1.0,0,0,3,-1,mfa_textgrid_phone
0.340000,0.400000,DH,there,1.0,1,0,0,-1,mfa_textgrid_phone
0.400000,0.480000,EH1,there,1.0,1,0,1,-1,mfa_textgrid_phone
0.480000,0.630000,R,there,1.0,1,0,2,-1,mfa_textgrid_phone
0.820000,0.850000,HH,what,1.0,2,1,0,-1,mfa_textgrid_phone
0.850000,0.930000,W,what,1.0,2,1,1,-1,mfa_textgrid_phone
0.930000,0.980000,AH1,what,1.0,2,1,2,-1,mfa_textgrid_phone
0.980000,1.010000,T,what,1.0,2,1,3,-1,mfa_textgrid_phone
1.010000,1.050000,K,can,1.0,3,1,0,-1,mfa_textgrid_phone
1.050000,1.090000,AH0,can,1.0,3,1,1,-1,mfa_textgrid_phone
1.090000,1.120000,N,can,1.0,3,1,2,-1,mfa_textgrid_phone
1.120000,1.200000,AY1,i,1.0,4,1,0,-1,mfa_textgrid_phone
1.200000,1.270000,G,get,1.0,5,1,0,-1,mfa_textgrid_phone
1.270000,1.320000,EH1,get,1.0,5,1,1,-1,mfa_textgrid_phone
1.320000,1.360000,T,get,1.0,5,1,2,-1,mfa_textgrid_phone
1.360000,1.430000,F,for,1.0,6,1,0,-1,mfa_textgrid_phone
1.430000,1.460000,ER0,for,1.0,6,1,1,-1,mfa_textgrid_phone
1.460000,1.560000,Y,you,1.0,7,1,0,-1,mfa_textgrid_phone
1.560000,1.600000,UW1,you,1.0,7,1,1,-1,mfa_textgrid_phone
1.600000,1.680000,T,today,1.0,8,1,0,-1,mfa_textgrid_phone
1.680000,1.720000,AH0,today,1.0,8,1,1,-1,mfa_textgrid_phone
1.720000,1.760000,D,today,1.0,8,1,2,-1,mfa_textgrid_phone
1.760000,1.990000,EY1,today,1.0,8,1,3,-1,mfa_textgrid_phone
