word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,we,1,don't,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,don't,2,do,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,do,3,favors,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,favors,4,but,",",",",soft_pause,0,none,0.100000,0.100000,0.100000,0.100000,0,0
4,but,5,if,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
5,if,6,you're,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
6,you're,7,nice,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
7,nice,8,about,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
8,about,9,it,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
9,it,10,i,",",",",soft_pause,0,none,0.040000,0.040000,0.040000,0.040000,0,0
10,i,11,might,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
11,might,12,consider,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
12,consider,13,it,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
13,it,14,what,.,.,region_break,1,hard_punctuation_with_lull,0.280000,0.280000,0.280000,0.280000,0,1
14,what,15,do,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
15,do,16,you,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
16,you,17,have,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
17,have,18,in,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
18,in,19,mind,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
