start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.120000,0.220000,W,we,1.0,0,0,0,-1,mfa_textgrid_phone
0.220000,0.270000,IY1,we,1.0,0,0,1,-1,mfa_textgrid_phone
0.270000,0.310000,D,don't,1.0,1,0,0,-1,mfa_textgrid_phone
0.310000,0.420000,OW1,don't,1.0,1,0,1,-1,mfa_textgrid_phone
0.420000,0.450000,N,don't,1.0,1,0,2,-1,mfa_textgrid_phone
0.450000,0.480000,T,don't,1.0,1,0,3,-1,mfa_textgrid_phone
0.480000,0.510000,D,do,1.0,2,0,0,-1,mfa_textgrid_phone
0.510000,0.650000,UW1,do,1.0,2,0,1,-1,mfa_textgrid_phone
0.650000,0.760000,F,favors,1.0,3,0,0,-1,mfa_textgrid_phone
0.760000,0.940000,EY1,favors,1.0,3,0,1,-1,mfa_textgrid_phone
0.940000,0.990000,V,favors,1.0,3,0,2,-1,mfa_textgrid_phone
0.990000,1.150000,ER0,favors,1.0,3,0,3,-1,mfa_textgrid_phone
1.150000,1.310000,Z,favors,1.0,3,0,4,-1,mfa_textgrid_phone
1.410000,1.450000,B,but,1.0,4,0,0,-1,mfa_textgrid_phone
1.450000,1.580000,AH1,but,1.0,4,0,1,-1,mfa_textgrid_phone
1.580000,1.610000,T,but,1.0,4,0,2,-1,mfa_textgrid_phone
1.610000,1.690000,IH1,if,1.0,5,0,0,-1,mfa_textgrid_phone
1.690000,1.760000,F,if,1.0,5,0,1,-1,mfa_textgrid_phone
1.760000,1.820000,Y,you're,1.0,6,0,0,-1,mfa_textgrid_phone
1.820000,1.870000,UH1,you're,1.0,6,0,1,-1,mfa_textgrid_phone
1.870000,1.930000,R,you're,1.0,6,0,2,-1,mfa_textgrid_phone
1.930000,1.990000,N,nice,1.0,7,0,0,-1,mfa_textgrid_phone
1.990000,2.140000,AY1,nice,1.0,7,0,1,-1,mfa_textgrid_phone
2.140000,2.240000,S,nice,1.0,7,0,2,-1,mfa_textgrid_phone
2.240000,2.290000,AH0,about,1.0,8,0,0,-1,mfa_textgrid_phone
2.290000,2.350000,B,about,1.0,8,0,1,-1,mfa_textgrid_phone
2.350000,2.500000,AW1,about,1.0,8,0,2,-1,mfa_textgrid_phone
2.500000,2.540000,T,about,1.0,8,0,3,-1,mfa_textgrid_phone
2.540000,2.610000,IH1,it,1.0,9,0,0,-1,mfa_textgrid_phone
2.610000,2.730000,T,it,1.0,9,0,1,-1,mfa_textgrid_phone
2.770000,2.910000,AY1,i,1.0,10,0,0,-1,mfa_textgrid_phone
2.910000,2.980000,M,might,1.0,11,0,0,-1,mfa_textgrid_phone
2.980000,3.080000,AY1,might,1.0,11,0,1,-1,mfa_textgrid_phone
3.080000,3.130000,T,might,1.0,11,0,2,-1,mfa_textgrid_phone
3.130000,3.180000,K,consider,1.0,12,0,0,-1,mfa_textgrid_phone
3.180000,3.230000,AH0,consider,1.0,12,0,1,-1,mfa_textgrid_phone
3.230000,3.280000,N,consider,1.0,12,0,2,-1,mfa_textgrid_phone
3.280000,3.400000,S,consider,1.0,12,0,3,-1,mfa_textgrid_phone
3.400000,3.490000,IH1,consider,1.0,12,0,4,-1,mfa_textgrid_phone
3.490000,3.520000,D,consider,1.0,12,0,5,-1,mfa_textgrid_phone
3.520000,3.630000,ER0,consider,1.0,12,0,6,-1,mfa_textgrid_phone
3.630000,3.730000,IH0,it,1.0,13,0,0,-1,mfa_textgrid_phone
3.730000,3.830000,T,it,1.0,13,0,1,-1,mfa_textgrid_phone
4.110000,4.140000,HH,what,1.0,14,1,0,-1,mfa_textgrid_phone
4.140000,4.200000,W,what,1.0,14,1,1,-1,mfa_textgrid_phone
4.200000,4.280000,AH1,what,1.0,14,1,2,-1,mfa_textgrid_phone
4.280000,4.340000,T,what,1.0,14,1,3,-1,mfa_textgrid_phone
4.340000,4.380000,D,do,1.0,15,1,0,-1,mfa_textgrid_phone
4.380000,4.420000,UW1,do,1.0,15,1,1,-1,mfa_textgrid_phone
4.420000,4.480000,Y,you,1.0,16,1,0,-1,mfa_textgrid_phone
4.480000,4.560000,UW1,you,1.0,16,1,1,-1,mfa_textgrid_phone
4.560000,4.620000,HH,have,1.0,17,1,0,-1,mfa_textgrid_phone
4.620000,4.780000,AE1,have,1.0,17,1,1,-1,mfa_textgrid_phone
4.780000,4.820000,V,have,1.0,17,1,2,-1,mfa_textgrid_phone
4.820000,4.880000,IH0,in,1.0,18,1,0,-1,mfa_textgrid_phone
4.880000,4.940000,N,in,1.0,18,1,1,-1,mfa_textgrid_phone
4.940000,4.990000,M,mind,1.0,19,1,0,-1,mfa_textgrid_phone
4.990000,5.300000,AY1,mind,1.0,19,1,1,-1,mfa_textgrid_phone
5.300000,5.360000,N,mind,1.0,19,1,2,-1,mfa_textgrid_phone
5.360000,5.430000,D,mind,1.0,19,1,3,-1,mfa_textgrid_phone
