start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.130000,0.340000,R,R,red,1.0,0,0,-1,R,0,mfa_textgrid_phone
0.340000,0.560000,EH1,EH1,red,1.0,0,0,-1,EH1,1,mfa_textgrid_phone
0.560000,0.720000,D,D,red,1.0,0,0,-1,D,2,mfa_textgrid_phone
0.940000,1.100000,AO1,AO1,orange,1.0,1,1,-1,AO1,0,mfa_textgrid_phone
1.100000,1.210000,R,R,orange,1.0,1,1,-1,R,1,mfa_textgrid_phone
1.210000,1.340000,IH0,IH0,orange,1.0,1,1,-1,IH0,2,mfa_textgrid_phone
1.340000,1.440000,N,N,orange,1.0,1,1,-1,N,3,mfa_textgrid_phone
1.440000,1.640000,JH,JH,orange,1.0,1,1,-1,JH,4,mfa_textgrid_phone
1.710000,1.860000,Y,Y,yellow,1.0,2,1,-1,Y,0,mfa_textgrid_phone
1.860000,1.950000,EH1,EH1,yellow,1.0,2,1,-1,EH1,1,mfa_textgrid_phone
1.950000,2.050000,L,L,yellow,1.0,2,1,-1,L,2,mfa_textgrid_phone
2.050000,2.280000,OW0,OW0,yellow,1.0,2,1,-1,OW0,3,mfa_textgrid_phone
2.280000,2.430000,G,G,green,1.0,3,1,-1,G,0,mfa_textgrid_phone
2.430000,2.540000,R,R,green,1.0,3,1,-1,R,1,mfa_textgrid_phone
2.540000,2.780000,IY1,IY1,green,1.0,3,1,-1,IY1,2,mfa_textgrid_phone
2.780000,2.870000,N,N,green,1.0,3,1,-1,N,3,mfa_textgrid_phone
2.870000,2.970000,B,B,blue,1.0,4,1,-1,B,0,mfa_textgrid_phone
2.970000,3.060000,L,L,blue,1.0,4,1,-1,L,1,mfa_textgrid_phone
3.060000,3.320000,UW1,UW1,blue,1.0,4,1,-1,UW1,2,mfa_textgrid_phone
3.350000,3.430000,IH1,IH1,indigo,1.0,5,1,-1,IH1,0,mfa_textgrid_phone
3.430000,3.470000,N,N,indigo,1.0,5,1,-1,N,1,mfa_textgrid_phone
3.470000,3.510000,D,D,indigo,1.0,5,1,-1,D,2,mfa_textgrid_phone
3.510000,3.560000,IH0,IH0,indigo,1.0,5,1,-1,IH0,3,mfa_textgrid_phone
3.560000,3.630000,G,G,indigo,1.0,5,1,-1,G,4,mfa_textgrid_phone
3.630000,3.930000,OW2,OW2,indigo,1.0,5,1,-1,OW2,5,mfa_textgrid_phone
4.170000,4.320000,V,V,violet,1.0,6,2,-1,V,0,mfa_textgrid_phone
4.320000,4.470000,AY1,AY1,violet,1.0,6,2,-1,AY1,1,mfa_textgrid_phone
4.470000,4.560000,AH0,AH0,violet,1.0,6,2,-1,AH0,2,mfa_textgrid_phone
4.560000,4.620000,L,L,violet,1.0,6,2,-1,L,3,mfa_textgrid_phone
4.620000,4.710000,IH0,IH0,violet,1.0,6,2,-1,IH0,4,mfa_textgrid_phone
4.710000,4.800000,T,T,violet,1.0,6,2,-1,T,5,mfa_textgrid_phone
4.980000,5.050000,N,N,need,1.0,7,3,-1,N,0,mfa_textgrid_phone
5.050000,5.140000,IY1,IY1,need,1.0,7,3,-1,IY1,1,mfa_textgrid_phone
5.140000,5.180000,D,D,need,1.0,7,3,-1,D,2,mfa_textgrid_phone
5.180000,5.240000,EH1,EH1,anything,1.0,8,3,-1,EH1,0,mfa_textgrid_phone
5.240000,5.280000,N,N,anything,1.0,8,3,-1,N,1,mfa_textgrid_phone
5.280000,5.350000,IY0,IY0,anything,1.0,8,3,-1,IY0,2,mfa_textgrid_phone
5.350000,5.410000,TH,TH,anything,1.0,8,3,-1,TH,3,mfa_textgrid_phone
5.410000,5.460000,IH2,IH2,anything,1.0,8,3,-1,IH2,4,mfa_textgrid_phone
5.460000,5.520000,NG,NG,anything,1.0,8,3,-1,NG,5,mfa_textgrid_phone
5.520000,5.590000,EH1,EH1,else,1.0,9,3,-1,EH1,0,mfa_textgrid_phone
5.590000,5.690000,L,L,else,1.0,9,3,-1,L,1,mfa_textgrid_phone
5.690000,5.900000,S,S,else,1.0,9,3,-1,S,2,mfa_textgrid_phone
